countyfips,buyer_county,buyer_state,year,total_pills
08001,ADAMS,CO,2009,11083312
08001,ADAMS,CO,2010,12211730
08001,ADAMS,CO,2011,13476740
08001,ADAMS,CO,2012,13647534
08001,ADAMS,CO,2013,12151730
08001,ADAMS,CO,2014,12865600
19003,ADAMS,IA,2006,71400
19003,ADAMS,IA,2007,87500
19003,ADAMS,IA,2008,93900
19003,ADAMS,IA,2009,91400
19003,ADAMS,IA,2010,62400
19003,ADAMS,IA,2011,60300
19003,ADAMS,IA,2012,68600
19003,ADAMS,IA,2013,70400
19003,ADAMS,IA,2014,70000
16003,ADAMS,ID,2006,2800
16003,ADAMS,ID,2007,1900
16003,ADAMS,ID,2008,1200
16003,ADAMS,ID,2009,1200
16003,ADAMS,ID,2010,1400
16003,ADAMS,ID,2011,1100
16003,ADAMS,ID,2012,1400
17001,ADAMS,IL,2006,1851630
17001,ADAMS,IL,2007,2238040
17001,ADAMS,IL,2008,2531290
17001,ADAMS,IL,2009,2882080
17001,ADAMS,IL,2010,3266880
17001,ADAMS,IL,2011,3507410
17001,ADAMS,IL,2012,3493230
17001,ADAMS,IL,2013,3635390
17001,ADAMS,IL,2014,3804950
18001,ADAMS,IN,2006,434320
18001,ADAMS,IN,2007,543000
18001,ADAMS,IN,2008,601900
18001,ADAMS,IN,2009,688900
18001,ADAMS,IN,2010,766770
18001,ADAMS,IN,2011,930900
18001,ADAMS,IN,2012,999150
18001,ADAMS,IN,2013,915000
18001,ADAMS,IN,2014,897300
28001,ADAMS,MS,2006,1930200
28001,ADAMS,MS,2007,2131220
28001,ADAMS,MS,2008,2340600
28001,ADAMS,MS,2009,2395730
28001,ADAMS,MS,2010,2466920
28001,ADAMS,MS,2011,2755400
28001,ADAMS,MS,2012,2688760
28001,ADAMS,MS,2013,2459820
28001,ADAMS,MS,2014,2223570
38001,ADAMS,ND,2006,81900
38001,ADAMS,ND,2007,102320
38001,ADAMS,ND,2008,99100
38001,ADAMS,ND,2009,114200
38001,ADAMS,ND,2010,115650
38001,ADAMS,ND,2011,122510
38001,ADAMS,ND,2012,122590
38001,ADAMS,ND,2013,132380
38001,ADAMS,ND,2014,125730
31001,ADAMS,NE,2006,563140
31001,ADAMS,NE,2007,664320
31001,ADAMS,NE,2008,740400
31001,ADAMS,NE,2009,809260
31001,ADAMS,NE,2010,834173
31001,ADAMS,NE,2011,954060
31001,ADAMS,NE,2012,971680
31001,ADAMS,NE,2013,933100
31001,ADAMS,NE,2014,928830
39001,ADAMS,OH,2006,1553880
39001,ADAMS,OH,2007,1652200
39001,ADAMS,OH,2008,1825870
39001,ADAMS,OH,2009,1870210
39001,ADAMS,OH,2010,1820320
39001,ADAMS,OH,2011,1792820
39001,ADAMS,OH,2012,1656790
39001,ADAMS,OH,2013,1542840
39001,ADAMS,OH,2014,1569630
42001,ADAMS,PA,2006,1882950
42001,ADAMS,PA,2007,2009450
42001,ADAMS,PA,2008,2123800
42001,ADAMS,PA,2009,2400900
42001,ADAMS,PA,2010,2599340
42001,ADAMS,PA,2011,2922910
42001,ADAMS,PA,2012,3022160
42001,ADAMS,PA,2013,2740210
42001,ADAMS,PA,2014,2722900
53001,ADAMS,WA,2006,370200
53001,ADAMS,WA,2007,443500
53001,ADAMS,WA,2008,451600
53001,ADAMS,WA,2009,521320
53001,ADAMS,WA,2010,542500
53001,ADAMS,WA,2011,601300
53001,ADAMS,WA,2012,609630
53001,ADAMS,WA,2013,568500
53001,ADAMS,WA,2014,541100
55001,ADAMS,WI,2006,349900
55001,ADAMS,WI,2007,445200
55001,ADAMS,WI,2008,481500
55001,ADAMS,WI,2009,515600
55001,ADAMS,WI,2010,613200
55001,ADAMS,WI,2011,615950
55001,ADAMS,WI,2012,626470
55001,ADAMS,WI,2013,599800
55001,ADAMS,WI,2014,530000
50001,ADDISON,VT,2006,745200
50001,ADDISON,VT,2007,812600
50001,ADDISON,VT,2008,806850
50001,ADDISON,VT,2009,837770
50001,ADDISON,VT,2010,827380
50001,ADDISON,VT,2011,791340
50001,ADDISON,VT,2012,719500
50001,ADDISON,VT,2013,724930
50001,ADDISON,VT,2014,662650
45003,AIKEN,SC,2006,3236270
45003,AIKEN,SC,2007,4039800
45003,AIKEN,SC,2008,4765559
45003,AIKEN,SC,2009,5524405
45003,AIKEN,SC,2010,6292900
45003,AIKEN,SC,2011,6950170
45003,AIKEN,SC,2012,7231700
45003,AIKEN,SC,2013,7106890
45003,AIKEN,SC,2014,6760080
27001,AITKIN,MN,2006,357900
27001,AITKIN,MN,2007,394400
27001,AITKIN,MN,2008,457700
27001,AITKIN,MN,2009,530300
27001,AITKIN,MN,2010,580320
27001,AITKIN,MN,2011,645080
27001,AITKIN,MN,2012,677990
27001,AITKIN,MN,2013,682080
27001,AITKIN,MN,2014,714250
12001,ALACHUA,FL,2006,7029756
12001,ALACHUA,FL,2007,7849764
12001,ALACHUA,FL,2008,8786119
12001,ALACHUA,FL,2009,9820973
12001,ALACHUA,FL,2010,9760670
12001,ALACHUA,FL,2011,9622669
12001,ALACHUA,FL,2012,8623770
12001,ALACHUA,FL,2013,7880550
12001,ALACHUA,FL,2014,7642610
37001,ALAMANCE,NC,2006,4177597
37001,ALAMANCE,NC,2007,5045760
37001,ALAMANCE,NC,2008,5302980
37001,ALAMANCE,NC,2009,5518180
37001,ALAMANCE,NC,2010,5529390
37001,ALAMANCE,NC,2011,6057440
37001,ALAMANCE,NC,2012,6259710
37001,ALAMANCE,NC,2013,6098840
37001,ALAMANCE,NC,2014,6079040
06001,ALAMEDA,CA,2006,28554889.5
06001,ALAMEDA,CA,2007,30950133
06001,ALAMEDA,CA,2008,32446772
06001,ALAMEDA,CA,2009,35857849
06001,ALAMEDA,CA,2010,37912933
06001,ALAMEDA,CA,2011,40850962.6
06001,ALAMEDA,CA,2012,42452633
06001,ALAMEDA,CA,2013,40023030
06001,ALAMEDA,CA,2014,39623010
08003,ALAMOSA,CO,2006,966860
08003,ALAMOSA,CO,2007,1098870
08003,ALAMOSA,CO,2008,1208420
08003,ALAMOSA,CO,2009,1378550
08003,ALAMOSA,CO,2010,1381550
08003,ALAMOSA,CO,2011,1627300
08003,ALAMOSA,CO,2012,1815260
08003,ALAMOSA,CO,2013,1596770
08003,ALAMOSA,CO,2014,1292460
36001,ALBANY,NY,2006,5708150
36001,ALBANY,NY,2007,6550620
36001,ALBANY,NY,2008,7198950
36001,ALBANY,NY,2009,7998520
36001,ALBANY,NY,2010,8191200
36001,ALBANY,NY,2011,8563320
36001,ALBANY,NY,2012,8547470
36001,ALBANY,NY,2013,8343510
36001,ALBANY,NY,2014,7781810
56001,ALBANY,WY,2006,599500
56001,ALBANY,WY,2007,592810
56001,ALBANY,WY,2008,557030
56001,ALBANY,WY,2009,610170
56001,ALBANY,WY,2010,702600
56001,ALBANY,WY,2011,704600
56001,ALBANY,WY,2012,718980
56001,ALBANY,WY,2013,683500
56001,ALBANY,WY,2014,692620
51003,ALBEMARLE,VA,2006,2033730
51003,ALBEMARLE,VA,2007,2223650
51003,ALBEMARLE,VA,2008,2481080
51003,ALBEMARLE,VA,2009,2714890
51003,ALBEMARLE,VA,2010,2472100
51003,ALBEMARLE,VA,2011,2576440
51003,ALBEMARLE,VA,2012,2586240
51003,ALBEMARLE,VA,2013,2473140
51003,ALBEMARLE,VA,2014,2462350
26001,ALCONA,MI,2006,235100
26001,ALCONA,MI,2007,243500
26001,ALCONA,MI,2008,262440
26001,ALCONA,MI,2009,291760
26001,ALCONA,MI,2010,291230
26001,ALCONA,MI,2011,369300
26001,ALCONA,MI,2012,427200
26001,ALCONA,MI,2013,442260
26001,ALCONA,MI,2014,402830
28003,ALCORN,MS,2006,2396510
28003,ALCORN,MS,2007,2608940
28003,ALCORN,MS,2008,2825610
28003,ALCORN,MS,2009,3196500
28003,ALCORN,MS,2010,3423770
28003,ALCORN,MS,2011,3920010
28003,ALCORN,MS,2012,3885460
28003,ALCORN,MS,2013,3389810
28003,ALCORN,MS,2014,3165230
02013,ALEUTIANS EAST,AK,2006,300
02013,ALEUTIANS EAST,AK,2007,100
02016,ALEUTIANS WEST,AK,2006,26700
02016,ALEUTIANS WEST,AK,2007,33500
02016,ALEUTIANS WEST,AK,2008,30000
02016,ALEUTIANS WEST,AK,2009,29900
02016,ALEUTIANS WEST,AK,2010,26100
02016,ALEUTIANS WEST,AK,2011,28900
02016,ALEUTIANS WEST,AK,2012,18800
02016,ALEUTIANS WEST,AK,2013,14000
02016,ALEUTIANS WEST,AK,2014,10100
17003,ALEXANDER,IL,2006,112900
17003,ALEXANDER,IL,2007,127500
17003,ALEXANDER,IL,2008,180390
17003,ALEXANDER,IL,2009,117700
17003,ALEXANDER,IL,2010,134100
17003,ALEXANDER,IL,2011,172000
17003,ALEXANDER,IL,2012,154400
17003,ALEXANDER,IL,2013,130400
17003,ALEXANDER,IL,2014,137700
37003,ALEXANDER,NC,2006,1104800
37003,ALEXANDER,NC,2007,1229380
37003,ALEXANDER,NC,2008,1330050
37003,ALEXANDER,NC,2009,1400830
37003,ALEXANDER,NC,2010,1571800
37003,ALEXANDER,NC,2011,1661320
37003,ALEXANDER,NC,2012,1709780
37003,ALEXANDER,NC,2013,1665420
37003,ALEXANDER,NC,2014,1703260
51510,ALEXANDRIA CITY,VA,2006,1321972
51510,ALEXANDRIA CITY,VA,2007,1536327
51510,ALEXANDRIA CITY,VA,2008,1645200
51510,ALEXANDRIA CITY,VA,2009,1825720
51510,ALEXANDRIA CITY,VA,2010,2018320
51510,ALEXANDRIA CITY,VA,2011,2103620
51510,ALEXANDRIA CITY,VA,2012,2198320
51510,ALEXANDRIA CITY,VA,2013,2228700
51510,ALEXANDRIA CITY,VA,2014,2049610
40003,ALFALFA,OK,2006,54140
40003,ALFALFA,OK,2007,55530
40003,ALFALFA,OK,2008,73280
40003,ALFALFA,OK,2009,80860
40003,ALFALFA,OK,2010,93500
40003,ALFALFA,OK,2011,115360
40003,ALFALFA,OK,2012,135020
40003,ALFALFA,OK,2013,128130
40003,ALFALFA,OK,2014,114340
26003,ALGER,MI,2006,321000
26003,ALGER,MI,2007,325000
26003,ALGER,MI,2008,318060
26003,ALGER,MI,2009,333700
26003,ALGER,MI,2010,378730
26003,ALGER,MI,2011,407600
26003,ALGER,MI,2012,402900
26003,ALGER,MI,2013,386720
26003,ALGER,MI,2014,454600
19005,ALLAMAKEE,IA,2006,149900
19005,ALLAMAKEE,IA,2007,191200
19005,ALLAMAKEE,IA,2008,221700
19005,ALLAMAKEE,IA,2009,251900
19005,ALLAMAKEE,IA,2010,292300
19005,ALLAMAKEE,IA,2011,366600
19005,ALLAMAKEE,IA,2012,347500
19005,ALLAMAKEE,IA,2013,363000
19005,ALLAMAKEE,IA,2014,344500
26005,ALLEGAN,MI,2006,1992250
26005,ALLEGAN,MI,2007,2328700
26005,ALLEGAN,MI,2008,2488600
26005,ALLEGAN,MI,2009,2751030
26005,ALLEGAN,MI,2010,2954090
26005,ALLEGAN,MI,2011,3373590
26005,ALLEGAN,MI,2012,3610430
26005,ALLEGAN,MI,2013,3688440
26005,ALLEGAN,MI,2014,3705860
24001,ALLEGANY,MD,2006,3371670
24001,ALLEGANY,MD,2007,3634570
24001,ALLEGANY,MD,2008,3954160
24001,ALLEGANY,MD,2009,4409110
24001,ALLEGANY,MD,2010,4592010
24001,ALLEGANY,MD,2011,4964820
24001,ALLEGANY,MD,2012,4807590
24001,ALLEGANY,MD,2013,4439270
24001,ALLEGANY,MD,2014,4711610
36003,ALLEGANY,NY,2006,1477890
36003,ALLEGANY,NY,2007,1584460
36003,ALLEGANY,NY,2008,1457860
36003,ALLEGANY,NY,2009,1531500
36003,ALLEGANY,NY,2010,1653140
36003,ALLEGANY,NY,2011,1774790
36003,ALLEGANY,NY,2012,1748080
36003,ALLEGANY,NY,2013,1588400
36003,ALLEGANY,NY,2014,1585000
37005,ALLEGHANY,NC,2006,354310
37005,ALLEGHANY,NC,2007,388780
37005,ALLEGHANY,NC,2008,365860
37005,ALLEGHANY,NC,2009,424500
37005,ALLEGHANY,NC,2010,467850
37005,ALLEGHANY,NC,2011,536730
37005,ALLEGHANY,NC,2012,480010
37005,ALLEGHANY,NC,2013,485590
37005,ALLEGHANY,NC,2014,481760
51005,ALLEGHANY,VA,2006,300820
51005,ALLEGHANY,VA,2007,357420
51005,ALLEGHANY,VA,2008,403360
51005,ALLEGHANY,VA,2009,475550
51005,ALLEGHANY,VA,2010,522240
51005,ALLEGHANY,VA,2011,610060
51005,ALLEGHANY,VA,2012,678100
51005,ALLEGHANY,VA,2013,683700
51005,ALLEGHANY,VA,2014,617400
42003,ALLEGHENY,PA,2006,40282641.5
42003,ALLEGHENY,PA,2007,45085754
42003,ALLEGHENY,PA,2008,49268961
42003,ALLEGHENY,PA,2009,51256330
42003,ALLEGHENY,PA,2010,49011512
42003,ALLEGHENY,PA,2011,52228304
42003,ALLEGHENY,PA,2012,51492420
42003,ALLEGHENY,PA,2013,49307345
42003,ALLEGHENY,PA,2014,48910420
18003,ALLEN,IN,2006,6316442
18003,ALLEN,IN,2007,7781420
18003,ALLEN,IN,2008,8868210
18003,ALLEN,IN,2009,10400413
18003,ALLEN,IN,2010,11711100
18003,ALLEN,IN,2011,13369735
18003,ALLEN,IN,2012,14166782
18003,ALLEN,IN,2013,14219185
18003,ALLEN,IN,2014,13662945
20001,ALLEN,KS,2006,547500
20001,ALLEN,KS,2007,573200
20001,ALLEN,KS,2008,660100
20001,ALLEN,KS,2009,741800
20001,ALLEN,KS,2010,792600
20001,ALLEN,KS,2011,944900
20001,ALLEN,KS,2012,990900
20001,ALLEN,KS,2013,923400
20001,ALLEN,KS,2014,863450
21003,ALLEN,KY,2006,907500
21003,ALLEN,KY,2007,1197400
21003,ALLEN,KY,2008,1380730
21003,ALLEN,KY,2009,1473300
21003,ALLEN,KY,2010,1394930
21003,ALLEN,KY,2011,1580300
21003,ALLEN,KY,2012,1538190
21003,ALLEN,KY,2013,1327390
21003,ALLEN,KY,2014,1188000
22003,ALLEN,LA,2006,1046180
22003,ALLEN,LA,2007,1121780
22003,ALLEN,LA,2008,1172140
22003,ALLEN,LA,2009,1199330
22003,ALLEN,LA,2010,1223480
22003,ALLEN,LA,2011,1438170
22003,ALLEN,LA,2012,1461800
22003,ALLEN,LA,2013,1449680
22003,ALLEN,LA,2014,1463770
39003,ALLEN,OH,2006,2294100
39003,ALLEN,OH,2007,2713810
39003,ALLEN,OH,2008,3087850
39003,ALLEN,OH,2009,3243990
39003,ALLEN,OH,2010,3673100
39003,ALLEN,OH,2011,4028370
39003,ALLEN,OH,2012,3873600
39003,ALLEN,OH,2013,3807410
39003,ALLEN,OH,2014,3690090
45005,ALLENDALE,SC,2006,143890
45005,ALLENDALE,SC,2007,170860
45005,ALLENDALE,SC,2008,282420
45005,ALLENDALE,SC,2009,242680
45005,ALLENDALE,SC,2010,270840
45005,ALLENDALE,SC,2011,344660
45005,ALLENDALE,SC,2012,376760
45005,ALLENDALE,SC,2013,370690
45005,ALLENDALE,SC,2014,402910
26007,ALPENA,MI,2006,1204400
26007,ALPENA,MI,2007,1212200
26007,ALPENA,MI,2008,1308540
26007,ALPENA,MI,2009,1423020
26007,ALPENA,MI,2010,1609710
26007,ALPENA,MI,2011,1791020
26007,ALPENA,MI,2012,1908320
26007,ALPENA,MI,2013,2012090
26007,ALPENA,MI,2014,2048430
06003,ALPINE,CA,2006,100
06003,ALPINE,CA,2008,200
06003,ALPINE,CA,2009,3750
06003,ALPINE,CA,2010,3150
06003,ALPINE,CA,2011,600
06003,ALPINE,CA,2012,100
06005,AMADOR,CA,2006,2056490
06005,AMADOR,CA,2007,2323280
06005,AMADOR,CA,2008,2466060
06005,AMADOR,CA,2009,2620200
06005,AMADOR,CA,2010,2671300
06005,AMADOR,CA,2011,2884780
06005,AMADOR,CA,2012,3087350
06005,AMADOR,CA,2013,2975890
06005,AMADOR,CA,2014,2943440
51007,AMELIA,VA,2006,168300
51007,AMELIA,VA,2007,208030
51007,AMELIA,VA,2008,210600
51007,AMELIA,VA,2009,227400
51007,AMELIA,VA,2010,221260
51007,AMELIA,VA,2011,277770
51007,AMELIA,VA,2012,271350
51007,AMELIA,VA,2013,250720
51007,AMELIA,VA,2014,249420
51009,AMHERST,VA,2006,559100
51009,AMHERST,VA,2007,631330
51009,AMHERST,VA,2008,750360
51009,AMHERST,VA,2009,838660
51009,AMHERST,VA,2010,843560
51009,AMHERST,VA,2011,1014280
51009,AMHERST,VA,2012,984150
51009,AMHERST,VA,2013,1027750
51009,AMHERST,VA,2014,1012460
28005,AMITE,MS,2006,220200
28005,AMITE,MS,2007,235200
28005,AMITE,MS,2008,229190
28005,AMITE,MS,2009,241590
28005,AMITE,MS,2010,273530
28005,AMITE,MS,2011,285500
28005,AMITE,MS,2012,335100
28005,AMITE,MS,2013,262400
28005,AMITE,MS,2014,259700
02020,ANCHORAGE,AK,2006,7167856
02020,ANCHORAGE,AK,2007,7948533
02020,ANCHORAGE,AK,2008,8624632
02020,ANCHORAGE,AK,2009,9172728
02020,ANCHORAGE,AK,2010,9382410
02020,ANCHORAGE,AK,2011,9897346
02020,ANCHORAGE,AK,2012,10098618
02020,ANCHORAGE,AK,2013,9887592
02020,ANCHORAGE,AK,2014,10135080
20003,ANDERSON,KS,2006,179000
20003,ANDERSON,KS,2007,204500
20003,ANDERSON,KS,2008,202570
20003,ANDERSON,KS,2009,192400
20003,ANDERSON,KS,2010,210260
20003,ANDERSON,KS,2011,245200
20003,ANDERSON,KS,2012,259500
20003,ANDERSON,KS,2013,263000
20003,ANDERSON,KS,2014,276600
21005,ANDERSON,KY,2006,801300
21005,ANDERSON,KY,2007,1020190
21005,ANDERSON,KY,2008,1154790
21005,ANDERSON,KY,2009,1180110
21005,ANDERSON,KY,2010,1194110
21005,ANDERSON,KY,2011,1393180
21005,ANDERSON,KY,2012,1443630
21005,ANDERSON,KY,2013,1247190
21005,ANDERSON,KY,2014,1139210
45007,ANDERSON,SC,2006,6720690
45007,ANDERSON,SC,2007,7369290
45007,ANDERSON,SC,2008,8150680
45007,ANDERSON,SC,2009,9122013
45007,ANDERSON,SC,2010,9469135
45007,ANDERSON,SC,2011,10281684
45007,ANDERSON,SC,2012,10543170
45007,ANDERSON,SC,2013,10464746
45007,ANDERSON,SC,2014,10278640
47001,ANDERSON,TN,2006,5065930
47001,ANDERSON,TN,2007,5354720
47001,ANDERSON,TN,2008,5800560
47001,ANDERSON,TN,2009,6275920
47001,ANDERSON,TN,2010,6296700
47001,ANDERSON,TN,2011,6753920
47001,ANDERSON,TN,2012,7053360
47001,ANDERSON,TN,2013,7019730
47001,ANDERSON,TN,2014,6981670
48001,ANDERSON,TX,2006,2209130
48001,ANDERSON,TX,2007,2148570
48001,ANDERSON,TX,2008,2296470
48001,ANDERSON,TX,2009,2348990
48001,ANDERSON,TX,2010,2445130
48001,ANDERSON,TX,2011,2740100
48001,ANDERSON,TX,2012,2672540
48001,ANDERSON,TX,2013,2565550
48001,ANDERSON,TX,2014,2444420
29003,ANDREW,MO,2006,234440
29003,ANDREW,MO,2007,265850
29003,ANDREW,MO,2008,308800
29003,ANDREW,MO,2009,295600
29003,ANDREW,MO,2010,315180
29003,ANDREW,MO,2011,382450
29003,ANDREW,MO,2012,473080
29003,ANDREW,MO,2013,472150
29003,ANDREW,MO,2014,467830
48003,ANDREWS,TX,2006,246600
48003,ANDREWS,TX,2007,274080
48003,ANDREWS,TX,2008,320200
48003,ANDREWS,TX,2009,331510
48003,ANDREWS,TX,2010,367330
48003,ANDREWS,TX,2011,415720
48003,ANDREWS,TX,2012,481510
48003,ANDREWS,TX,2013,567050
48003,ANDREWS,TX,2014,521480
23001,ANDROSCOGGIN,ME,2006,3441000
23001,ANDROSCOGGIN,ME,2007,4086890
23001,ANDROSCOGGIN,ME,2008,4521200
23001,ANDROSCOGGIN,ME,2009,5065900
23001,ANDROSCOGGIN,ME,2010,5811250
23001,ANDROSCOGGIN,ME,2011,6358950
23001,ANDROSCOGGIN,ME,2012,5929940
23001,ANDROSCOGGIN,ME,2013,5249890
23001,ANDROSCOGGIN,ME,2014,4988530
48005,ANGELINA,TX,2006,3070935
48005,ANGELINA,TX,2007,3472640
48005,ANGELINA,TX,2008,4016760
48005,ANGELINA,TX,2009,4285930
48005,ANGELINA,TX,2010,4319319
48005,ANGELINA,TX,2011,4789710
48005,ANGELINA,TX,2012,4693260
48005,ANGELINA,TX,2013,4451230
48005,ANGELINA,TX,2014,4117660
24003,ANNE ARUNDEL,MD,2006,14356302
24003,ANNE ARUNDEL,MD,2007,15833468
24003,ANNE ARUNDEL,MD,2008,16671876
24003,ANNE ARUNDEL,MD,2009,18239025
24003,ANNE ARUNDEL,MD,2010,19151645
24003,ANNE ARUNDEL,MD,2011,20354450
24003,ANNE ARUNDEL,MD,2012,19928683
24003,ANNE ARUNDEL,MD,2013,19274915
24003,ANNE ARUNDEL,MD,2014,19121000
27003,ANOKA,MN,2006,6290185
27003,ANOKA,MN,2007,7031887
27003,ANOKA,MN,2008,7591755
27003,ANOKA,MN,2009,8133950
27003,ANOKA,MN,2010,9176630
27003,ANOKA,MN,2011,9722650
27003,ANOKA,MN,2012,9820030
27003,ANOKA,MN,2013,9209060
27003,ANOKA,MN,2014,9427510
37007,ANSON,NC,2006,561040
37007,ANSON,NC,2007,661810
37007,ANSON,NC,2008,761020
37007,ANSON,NC,2009,872950
37007,ANSON,NC,2010,940930
37007,ANSON,NC,2011,1001630
37007,ANSON,NC,2012,1063540
37007,ANSON,NC,2013,1093020
37007,ANSON,NC,2014,1050000
31003,ANTELOPE,NE,2006,39200
31003,ANTELOPE,NE,2007,40000
31003,ANTELOPE,NE,2008,48900
31003,ANTELOPE,NE,2009,56700
31003,ANTELOPE,NE,2010,68900
31003,ANTELOPE,NE,2011,92820
31003,ANTELOPE,NE,2012,95080
31003,ANTELOPE,NE,2013,82980
31003,ANTELOPE,NE,2014,79140
26009,ANTRIM,MI,2006,521250
26009,ANTRIM,MI,2007,575730
26009,ANTRIM,MI,2008,636490
26009,ANTRIM,MI,2009,696530
26009,ANTRIM,MI,2010,745370
26009,ANTRIM,MI,2011,756780
26009,ANTRIM,MI,2012,820200
26009,ANTRIM,MI,2013,855500
26009,ANTRIM,MI,2014,751600
04001,APACHE,AZ,2006,482385
04001,APACHE,AZ,2007,542560
04001,APACHE,AZ,2008,610700
04001,APACHE,AZ,2009,720230
04001,APACHE,AZ,2010,758420
04001,APACHE,AZ,2011,746650
04001,APACHE,AZ,2012,760850
04001,APACHE,AZ,2013,758660
04001,APACHE,AZ,2014,796200
19007,APPANOOSE,IA,2006,408500
19007,APPANOOSE,IA,2007,428400
19007,APPANOOSE,IA,2008,465320
19007,APPANOOSE,IA,2009,452700
19007,APPANOOSE,IA,2010,514100
19007,APPANOOSE,IA,2011,605100
19007,APPANOOSE,IA,2012,635100
19007,APPANOOSE,IA,2013,708600
19007,APPANOOSE,IA,2014,736560
13001,APPLING,GA,2006,518440
13001,APPLING,GA,2007,582360
13001,APPLING,GA,2008,635860
13001,APPLING,GA,2009,715400
13001,APPLING,GA,2010,998300
13001,APPLING,GA,2011,1012980
13001,APPLING,GA,2012,1083990
13001,APPLING,GA,2013,1045630
13001,APPLING,GA,2014,1003200
51011,APPOMATTOX,VA,2006,370300
51011,APPOMATTOX,VA,2007,416030
51011,APPOMATTOX,VA,2008,532660
51011,APPOMATTOX,VA,2009,606000
51011,APPOMATTOX,VA,2010,722000
51011,APPOMATTOX,VA,2011,829700
51011,APPOMATTOX,VA,2012,963660
51011,APPOMATTOX,VA,2013,1005800
51011,APPOMATTOX,VA,2014,1110100
48007,ARANSAS,TX,2006,734500
48007,ARANSAS,TX,2007,948950
48007,ARANSAS,TX,2008,989600
48007,ARANSAS,TX,2009,1014920
48007,ARANSAS,TX,2010,1110790
48007,ARANSAS,TX,2011,1206540
48007,ARANSAS,TX,2012,1294570
48007,ARANSAS,TX,2013,1322050
48007,ARANSAS,TX,2014,1270980
08005,ARAPAHOE,CO,2006,10882413
08005,ARAPAHOE,CO,2007,12385112
08005,ARAPAHOE,CO,2008,13572423
08005,ARAPAHOE,CO,2009,14657622
08005,ARAPAHOE,CO,2010,15248752
08005,ARAPAHOE,CO,2011,16316255
08005,ARAPAHOE,CO,2012,16673680
08005,ARAPAHOE,CO,2013,15964518
08005,ARAPAHOE,CO,2014,16246185
48009,ARCHER,TX,2007,200
48009,ARCHER,TX,2012,100
48009,ARCHER,TX,2013,400
48009,ARCHER,TX,2014,100
08007,ARCHULETA,CO,2006,161100
08007,ARCHULETA,CO,2007,182700
08007,ARCHULETA,CO,2008,189600
08007,ARCHULETA,CO,2009,224600
08007,ARCHULETA,CO,2010,223520
08007,ARCHULETA,CO,2011,235800
08007,ARCHULETA,CO,2012,268000
08007,ARCHULETA,CO,2013,290300
08007,ARCHULETA,CO,2014,308700
