"","geoid","place","x2010_total","x2010_white","x2010_black","x2010_native_am","x2010_asian","x2010_pac_islander","x2010_hispanic","x2020_total","x2020_white","x2020_black","x2020_native_am","x2020_asian","x2020_pac_islander","x2020_hispanic"
"27","2404525","Barrelville CDP",0,0,0,0,0,0,0,44,44,0,0,0,0,0
"28","2404625","Barton town",399,390,4,0,2,0,7,510,510,0,0,0,0,0
"29","2404650","Bartonsville CDP",1298,1192,42,0,64,0,82,1786,1540,70,3,95,74,77
"30","2405250","Beaver Creek CDP",183,183,0,0,0,0,0,539,405,82,0,24,0,28
"31","2405525","Bel Air CDP",1097,907,0,0,0,0,145,1504,1377,0,0,93,0,0
"32","2405550","Bel Air town",10167,9132,392,20,86,0,583,10102,8785,422,43,305,0,723
"33","2405825","Bel Air North CDP",29172,26828,901,129,738,0,1113,30639,27590,1135,61,586,0,597
"34","2405950","Bel Air South CDP",45769,40572,2853,235,1125,15,1349,55024,44793,5062,70,2510,0,2642
"35","2406400","Beltsville CDP",15444,5961,5298,14,1756,30,3511,17922,5704,5502,26,2105,9,5809
"36","2406550","Benedict CDP",244,228,16,0,0,0,0,181,141,0,0,0,0,0
"37","2406615","Bensville CDP",11693,6518,4196,54,512,0,553,NA,NA,NA,NA,NA,NA,NA
"38","2406800","Berlin town",4358,3332,825,0,39,123,565,4740,3806,745,2,33,0,176
"39","2406925","Berwyn Heights town",3102,2034,447,19,195,25,770,3256,1825,319,0,297,0,1347
"40","2407125","Bethesda CDP",58537,49426,1879,50,5305,41,3498,65092,50634,3067,108,6989,9,5914
"41","2407200","Betterton town",450,397,4,0,0,0,19,412,356,35,0,0,0,16
"42","2407285","Bier CDP",379,333,46,0,0,0,0,224,224,0,0,0,0,0
"43","2407375","Big Pool CDP",22,22,0,0,0,0,0,85,85,0,0,0,0,0
"44","2407400","Big Spring CDP",90,90,0,0,0,0,0,50,50,0,0,0,0,0
"45","2407625","Bishopville CDP",452,423,29,0,0,0,0,634,609,19,0,6,0,0
"46","2407675","Bivalve CDP",181,181,0,0,0,0,0,122,55,0,0,67,0,0
"47","2407850","Bladensburg town",8918,1729,5949,15,275,0,2272,9428,808,6409,0,126,0,2522
"48","2408050","Bloomington CDP",335,335,0,0,0,0,0,152,127,0,0,25,0,0
"49","2408625","Boonsboro town",3273,3220,25,0,13,0,123,3594,3222,148,8,0,0,124
"50","2408775","Bowie city",54314,23840,25220,121,2240,6,3380,58158,18565,32784,126,2239,0,4340
"51","2408800","Bowleys Quarters CDP",6607,5458,926,0,52,0,148,6422,5230,630,4,348,0,118
"52","2408850","Bowling Green CDP",1110,1080,0,10,0,0,3,1289,1221,0,0,4,0,46
"53","2408862","Bowmans Addition CDP",515,515,0,0,0,0,0,669,659,0,0,0,0,0
"54","2409100","Braddock Heights CDP",2709,2700,9,0,0,0,121,3093,2916,3,5,115,0,219
"55","2409325","Brandywine CDP",6018,1561,4390,0,22,0,295,8990,1340,6767,92,176,46,490
"56","2409400","Breathedsville CDP",253,253,0,0,0,0,0,281,90,191,0,0,0,0
"57","2409500","Brentwood town",3037,1021,1222,0,17,0,1266,3443,594,1050,15,44,0,1995
"58","2410150","Brock Hall CDP",8153,868,6923,58,48,0,68,10926,534,9518,0,188,0,427
"59","2410225","Brookeville town",165,163,0,0,0,0,6,151,150,0,0,1,0,0
"60","2410475","Brooklyn Park CDP",14178,10304,2584,0,520,0,734,15163,9667,3085,153,315,35,1780
"61","2410500","Brookmont CDP",3626,3253,0,0,338,0,41,3925,3411,14,16,184,0,344
"62","2410575","Brookview town",58,58,0,0,0,0,21,51,44,4,0,0,0,0
"63","2410650","Broomes Island CDP",203,203,0,0,0,0,0,513,513,0,0,0,0,0
"64","2410800","Brownsville CDP",335,335,0,0,0,0,0,26,26,0,0,0,0,0
"65","2410900","Brunswick city",5770,4939,532,0,160,0,385,6364,5091,671,2,104,0,320
"66","2410925","Bryans Road CDP",7552,2844,4186,61,251,0,299,8198,1879,5260,59,242,0,616
"67","2410950","Bryantown CDP",662,434,83,0,0,0,0,464,369,84,0,0,0,11
"68","2411050","Buckeystown CDP",1361,1361,0,0,0,0,15,1289,1132,36,28,61,0,153
"69","2411400","Burkittsville town",140,140,0,0,0,0,0,167,161,0,0,0,0,4
"70","2411750","Burtonsville CDP",9233,2858,3551,61,1877,0,707,10812,2725,3772,40,3459,0,931
"71","2411900","Butlertown CDP",662,179,483,0,0,0,0,328,191,137,0,0,0,0
"72","2412075","Cabin John CDP",1963,1782,64,0,73,0,61,2276,1768,126,9,259,0,163
"73","2412150","California CDP",11970,8659,1962,126,467,0,984,14730,10261,2969,27,278,0,901
"74","2412300","Calvert Beach CDP",599,545,44,0,10,0,14,860,778,12,0,24,0,18
"75","2412350","Calverton CDP",17800,6333,6915,3,3213,0,1928,17034,4642,7292,0,3016,0,2958
"76","2412400","Cambridge city",12109,5640,5597,27,226,0,530,12300,5175,5487,4,242,0,867
"77","2412600","Camp Springs CDP",18770,2893,14592,27,310,0,945,21829,2407,17260,0,364,0,2201
"78","2412912","Cape St. Claire CDP",8670,8018,161,10,155,0,584,8405,7554,348,0,158,0,265
"79","2413000","Capitol Heights town",4298,249,3928,0,75,0,55,4505,298,3784,15,0,0,527
"80","2413225","Carlos CDP",99,99,0,0,0,0,0,58,58,0,0,0,0,0
"81","2413325","Carney CDP",27583,21978,3134,9,1635,0,1119,29624,20356,4961,61,3202,0,1032
"82","2414125","Catonsville CDP",41866,32635,6218,219,1753,14,918,41592,29416,6871,214,2950,6,1588
"83","2414225","Cavetown CDP",1297,1297,0,0,0,0,9,1104,1052,24,0,9,0,24
"84","2414300","Cearfoss CDP",137,137,0,0,0,0,0,115,55,0,0,60,0,0
"85","2414325","Cecilton town",433,396,37,0,0,0,11,901,741,139,16,0,0,38
"86","2414800","Cedarville CDP",876,691,185,0,0,0,0,577,419,118,15,5,0,11
"87","2414950","Centreville town",3937,3376,509,0,14,0,16,4829,4171,556,3,58,0,141
"88","2415075","Chance CDP",326,285,41,0,0,0,0,413,300,77,0,0,0,36
"89","2415400","Charlestown town",1119,1064,55,0,0,0,7,1530,1409,22,0,8,0,40
"90","2415475","Charlotte Hall CDP",1384,1008,325,0,31,0,83,1740,1326,311,0,25,0,1
"91","2415500","Charlton CDP",177,177,0,0,0,0,0,380,380,0,0,0,0,0
"92","2415925","Chesapeake Beach town",5396,4805,340,50,39,0,131,5996,4978,468,83,79,0,97
"93","2415950","Chesapeake City town",719,646,64,0,0,0,0,725,621,17,0,5,0,141
"94","2416050","Chesapeake Ranch Estates CDP",9735,8138,1126,0,128,0,202,9579,7614,1279,0,130,0,345
"95","2416125","Chester CDP",4142,3580,432,12,26,0,178,4319,3754,253,0,33,0,59
"96","2416225","Chestertown town",5162,3897,964,0,118,0,72,5073,3715,1079,0,176,0,135
"97","2416550","Cheverly town",6234,2104,3187,0,60,0,732,6439,2482,3030,0,375,0,392
"98","2416620","Chevy Chase town",2795,2617,32,0,35,0,127,2979,2588,32,7,113,0,111
"99","2416625","Chevy Chase CDP",9741,8719,341,23,518,0,798,9801,7900,919,24,347,0,635
"100","2416720","Chevy Chase Section Five village",735,711,0,0,0,0,45,757,704,7,0,11,0,48
"101","2416730","Chevy Chase Section Three village",711,654,14,0,23,0,45,900,783,9,2,30,0,16
"102","2416775","Chevy Chase View town",1010,971,6,0,23,0,18,1151,1059,8,0,33,0,100
"103","2416787","Chevy Chase Village town",2010,1922,0,7,46,0,35,1871,1762,13,16,19,3,60
"104","2416800","Chewsville CDP",91,91,0,0,0,0,0,301,301,0,0,0,0,0
"105","2416875","Chillum CDP",35034,4790,19048,128,267,32,14081,34230,3064,15223,223,622,0,16641
"106","2417000","Choptank CDP",118,118,0,0,0,0,0,30,30,0,0,0,0,0
"107","2417050","Church Creek town",91,91,0,0,0,0,0,75,73,0,0,0,0,0
"108","2417100","Church Hill town",551,475,65,0,6,0,4,866,697,73,0,2,0,74
"109","2417350","Clarksburg CDP",10543,4987,1216,10,3570,0,1089,26234,9042,4369,136,10227,0,2395
"110","2417475","Clarysville CDP",168,168,0,0,0,0,0,40,40,0,0,0,0,0
"111","2417600","Clear Spring town",466,457,0,0,0,0,47,486,411,3,0,49,0,39
"112","2417900","Clinton CDP",35985,4798,28767,17,718,0,1508,37765,2881,30679,256,1147,0,2456
"113","2418150","Cloverly CDP",15413,7620,3757,10,2905,0,1462,15915,6784,5169,0,2083,0,1794
"114","2418200","Cobb Island CDP",714,688,0,0,14,0,0,1119,1092,0,0,0,0,0
"115","2418250","Cockeysville CDP",19842,13284,2594,78,2588,0,1500,22602,13644,3999,66,2329,0,3411
"116","2418475","Colesville CDP",14198,6914,4605,10,1879,0,1649,14397,6171,4080,12,2469,10,2415
"117","2418750","College Park city",29596,19285,4200,42,3693,18,3082,32221,17305,5657,34,4585,0,5546
"118","2418850","Colmar Manor town",1383,325,488,0,122,0,555,1395,243,522,20,152,0,696
"119","2419125","Columbia CDP",98379,58686,24193,196,9994,10,7076,105412,53125,28991,476,13993,49,9948
"120","2419825","Coral Hills CDP",9653,780,8319,0,0,0,1063,9457,606,8020,5,22,0,1046
"121","2419900","Cordova CDP",543,532,0,0,0,0,0,551,478,73,0,0,0,0
"122","2419975","Corriganville CDP",499,476,0,0,0,0,0,619,560,20,0,0,0,0
"123","2420050","Cottage City town",1106,391,504,0,31,0,429,1150,188,371,24,55,16,541
"124","2420500","Crellin CDP",58,58,0,0,0,0,0,57,57,0,0,0,0,0
"125","2420525","Cresaptown CDP",3459,2737,697,0,0,0,29,5584,2827,2644,34,13,0,124
"126","2420775","Crisfield city",2756,1706,866,0,110,0,0,2572,1548,852,0,4,0,29
"127","2420875","Crofton CDP",27624,22436,2556,78,945,0,1176,29482,20219,4963,9,2200,0,2093
"128","2420925","Croom CDP",2296,1357,928,0,11,0,79,2353,1366,713,0,0,58,128
"129","2421075","Crownsville CDP",1926,1447,253,0,121,0,110,1473,1373,100,0,0,0,0
"130","2421325","Cumberland city",20927,18984,1135,12,201,0,228,19495,17512,1144,43,86,2,397
"131","2421475","Damascus CDP",15520,12401,1658,70,855,0,1456,17105,12856,1186,0,1068,0,2250
"132","2421550","Dames Quarter CDP",142,142,0,0,0,0,0,105,105,0,0,0,0,0
"133","2421675","Danville CDP",470,470,0,0,0,0,0,526,526,0,0,0,0,0
"134","2421750","Dargan CDP",293,293,0,0,0,0,0,202,202,0,0,0,0,0
"135","2421800","Darlington CDP",449,449,0,0,0,0,20,522,488,0,12,0,0,23
"136","2421825","Darnestown CDP",6502,4713,418,0,1015,0,177,6754,5021,320,3,1195,0,250
"137","2421925","Dawson CDP",179,179,0,0,0,0,0,52,52,0,0,0,0,0
"138","2422050","Deale CDP",4934,4548,100,0,0,19,148,4592,3934,280,37,69,0,171
"139","2422100","Deal Island CDP",456,414,42,0,0,0,0,316,292,8,0,0,0,0
"140","2422275","Deer Park town",371,354,0,4,4,0,0,332,332,0,0,0,0,0
"141","2422600","Delmar town",2834,1912,679,0,191,0,145,3321,1588,816,14,298,0,243
"142","2422725","Denton town",4204,3070,903,111,18,0,226,4488,2575,1485,0,26,0,172
"143","2422775","Derwood CDP",2136,1143,148,0,704,0,88,1644,917,93,16,417,10,253
"144","2422825","Detmold CDP",168,168,0,0,0,0,0,256,256,0,0,0,0,0
"145","2423025","District Heights city",5858,525,5202,12,0,0,79,5996,104,5494,0,19,7,349
"146","2423500","Downsville CDP",219,219,0,0,0,0,0,863,863,0,0,0,0,0
"147","2423700","Drum Point CDP",3324,2825,303,0,71,0,77,2534,2427,0,0,29,0,75
"148","2423975","Dundalk CDP",62444,52358,5726,309,1364,51,2729,63826,48059,9107,470,1816,32,5901
"149","2424062","Dunkirk CDP",2603,2355,114,0,56,0,0,NA,NA,NA,NA,NA,NA,NA
"150","2424200","Eagle Harbor town",19,0,17,0,0,0,0,42,8,34,0,0,0,2
"151","2424250","Eakles Mill CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","2424450","East New Market town",315,261,47,0,0,0,7,323,251,48,0,0,0,7
"153","2424475","Easton town",15310,11087,3172,14,200,74,1429,16589,12031,2385,52,327,0,1926
"154","2424650","East Riverdale CDP",15669,5533,6171,0,307,7,7876,16395,3900,4464,175,1091,0,9706
"155","2424825","Eckhart Mines CDP",1317,1295,15,0,0,0,0,512,512,0,0,0,0,0
"156","2424850","Eden CDP",839,367,385,0,0,0,66,846,310,502,34,0,0,7
"157","2424925","Edesville CDP",203,95,108,0,0,0,0,163,33,86,0,0,0,0
"158","2424950","Edgemere CDP",9053,8770,224,0,25,0,51,8652,8022,325,0,110,0,128
"159","2425000","Edgemont CDP",204,204,0,0,0,0,0,277,277,0,0,0,0,0
"160","2425050","Edgewater CDP",8692,7881,218,51,253,4,680,8850,8132,432,0,67,0,802
"161","2425150","Edgewood CDP",25391,12886,10549,38,642,0,1621,25065,10361,11736,7,402,0,2159
"162","2425425","Edmonston town",1328,566,362,0,12,0,624,1399,208,338,15,25,0,852
"163","2425575","Eldersburg CDP",31632,29146,1113,87,621,0,589,30550,26787,1347,23,1127,23,1207
"164","2425600","Eldorado town",102,102,0,0,0,0,3,76,63,13,0,0,0,0
"165","2425750","Elkridge CDP",13512,9073,2442,0,1381,40,1129,21778,9998,6571,0,3986,0,1569
"166","2425800","Elkton town",15029,11624,1906,75,696,26,721,15653,11542,2464,0,282,0,1483
"167","2425925","Ellerslie CDP",351,327,2,0,0,0,0,629,626,0,0,0,0,3
"168","2426000","Ellicott City CDP",64970,43872,5586,106,13487,10,2050,73272,41122,6368,181,21245,19,2625
"169","2426025","Elliott CDP",32,32,0,0,0,0,0,38,38,0,0,0,0,0
"170","2426200","Emmitsburg town",2749,2613,62,0,0,0,31,3156,2825,245,0,0,0,163
"171","2426550","Ernstville CDP",0,0,0,0,0,0,0,25,25,0,0,0,0,0
"172","2426600","Essex CDP",38790,26479,10169,88,558,0,2065,39307,23764,12989,45,580,0,1745
"173","2427250","Fairland CDP",23086,5552,11452,174,3734,0,2293,25649,4322,15323,63,3509,0,3434
"174","2427325","Fairlee CDP",239,187,35,0,0,0,0,519,209,247,0,0,0,7
"175","2427375","Fairmount CDP",492,287,89,0,0,0,0,412,246,73,0,61,0,0
"176","2427400","Fairmount Heights town",1292,143,1053,0,21,0,161,1381,51,1133,1,26,0,173
"177","2427425","Fairplay CDP",551,503,0,0,48,0,0,470,470,0,0,0,0,0
"178","2427500","Fairview CDP",0,0,0,0,0,0,0,16,16,0,0,0,0,0
"179","2427580","Fairwood CDP",4650,607,3401,49,452,0,97,6780,459,5540,0,629,0,161
"180","2427700","Fallston CDP",8062,7790,57,0,149,0,21,9118,8614,188,0,58,0,290
"181","2427900","Federalsburg town",2755,1477,1037,0,23,0,78,2668,1168,1280,54,0,0,145
"182","2428075","Ferndale CDP",17104,13134,2486,33,591,0,1065,17732,11181,4112,19,207,0,1597
"183","2428275","Finzel CDP",527,527,0,0,0,0,0,869,869,0,0,0,0,0
"184","2428300","Fishing Creek CDP",80,72,0,0,0,8,0,202,202,0,0,0,0,0
"185","2428425","Flintstone CDP",136,136,0,0,0,0,0,198,198,0,0,0,0,0
"186","2428640","Forest Glen CDP",6182,3216,1340,38,559,0,1145,5957,3163,956,24,664,0,1196
"187","2428725","Forest Heights town",2152,254,1542,0,179,0,185,2739,496,1629,18,28,0,752
"188","2429000","Forestville CDP",12297,884,10825,39,67,0,672,11224,554,9962,0,130,0,669
"189","2429400","Fort Meade CDP",10910,7222,2644,14,271,0,1499,11340,6172,2628,24,863,30,1645
"190","2429450","Fort Ritchie CDP",222,201,0,0,0,0,0,48,48,0,0,0,0,0
"191","2429525","Fort Washington CDP",25145,3780,17679,227,2043,0,1568,24468,2868,15150,9,2381,23,3720
"192","2429712","Fountainhead-Orchard Hills CDP",6006,5039,747,0,34,0,348,5964,5164,422,0,88,0,544
"193","2429790","Four Corners CDP",7998,5742,659,24,545,31,1942,8268,5239,1001,0,538,0,1517
"194","2430100","Franklin CDP",220,204,16,0,0,0,8,157,147,10,0,0,0,0
"195","2430325","Frederick city",63731,43866,11206,362,4478,103,7130,71843,46657,13325,165,3996,20,11937
"196","2430567","Frenchtown-Rumbly CDP",83,83,0,0,0,0,0,27,27,0,0,0,0,0
"197","2430575","Friendly CDP",9968,747,7604,0,929,0,766,9984,856,6247,382,570,0,1715
"198","2430650","Friendship CDP",412,412,0,0,0,0,0,343,294,49,0,0,0,0
"199","2430800","Friendship Heights Village CDP",5768,4803,221,0,450,0,490,4577,3472,213,87,513,0,636
"200","2430850","Friendsville town",541,538,0,0,0,0,0,430,411,0,1,0,0,15
"201","2430900","Frostburg city",8792,7514,962,15,76,0,164,8550,6943,1063,19,222,0,318
"202","2430950","Fruitland city",4704,2719,1711,0,109,0,88,5281,3276,1474,12,254,0,475
"203","2431025","Fulton CDP",1966,1424,79,0,280,0,88,4050,2087,504,26,1153,0,125
"204","2431100","Funkstown town",1372,1332,22,0,3,0,41,961,912,13,0,9,0,57
"205","2431175","Gaithersburg city",58169,31976,7493,108,11428,0,13781,67878,30365,12109,257,13776,81,17153
"206","2431225","Galena town",603,594,9,0,0,0,0,758,718,20,3,2,0,48
"207","2431250","Galestown town",57,57,0,0,0,0,0,72,70,2,0,0,0,0
"208","2431275","Galesville CDP",498,452,46,0,0,0,0,1262,1096,149,0,0,0,0
"209","2431350","Gambrills CDP",2575,2045,212,0,264,0,38,2929,2367,157,0,51,0,229
"210","2431400","Gapland CDP",131,99,0,32,0,0,32,60,60,0,0,0,0,0
"211","2431525","Garrett Park town",917,865,16,0,19,0,51,840,791,6,0,30,0,43
"212","2431575","Garretts Mill CDP",161,161,0,0,0,0,0,350,316,16,0,18,0,0
"213","2431625","Garrison CDP",7622,5352,1810,13,410,0,113,8794,4684,3264,0,317,0,464
"214","2431875","Georgetown CDP",254,40,214,0,0,0,0,23,23,0,0,0,0,0
"215","2432025","Germantown CDP",84847,42225,18306,328,15635,118,15863,89529,36890,21674,123,18057,0,21381
"216","2432175","Gilmore CDP",79,79,0,0,0,0,0,308,308,0,0,0,0,0
"217","2432250","Girdletree CDP",186,146,40,0,0,0,0,115,94,0,0,21,0,0
"218","2432350","Glassmanor CDP",17536,500,15792,0,436,0,1091,16305,813,11637,49,182,85,3668
"219","2432500","Glenarden city",6069,302,5528,0,239,0,242,6158,439,5171,0,21,0,764
"220","2432650","Glen Burnie CDP",65523,46941,12619,114,2644,0,4825,69649,42715,16970,185,3154,121,5773
"221","2432900","Glen Echo town",249,218,6,0,14,0,19,323,277,14,0,2,0,21
"222","2433250","Glenmont CDP",13458,4786,4088,0,1824,0,3457,15111,4477,3415,60,2213,0,5130
"223","2433400","Glenn Dale CDP",14129,4271,8650,57,646,0,1005,13722,2993,8314,0,949,10,1781
"224","2433850","Golden Beach CDP",3779,3433,105,30,96,0,48,3620,3269,212,0,33,0,101
"225","2433950","Goldsboro town",338,325,11,0,0,0,54,215,147,9,4,0,0,51
"226","2434150","Gorman CDP",79,79,0,0,0,0,0,195,195,0,0,0,0,0
"227","2434425","Grahamtown CDP",237,228,9,0,0,0,0,211,211,0,0,0,0,0
"228","2434525","Grantsville town",719,719,0,0,0,0,0,701,686,0,3,5,0,3
"229","2434550","Grasonville CDP",3114,2107,941,19,0,0,11,3578,2572,454,18,12,13,84
"230","2434775","Greenbelt city",22817,7773,11413,90,2429,0,2242,23253,6195,10581,101,2440,0,3997
"231","2435200","Greensboro town",2455,1981,234,0,6,0,221,2873,2422,189,3,2,0,506
"232","2435225","Greensburg CDP",171,171,0,0,0,0,8,126,126,0,0,0,0,0
"233","2436075","Hagerstown city",39546,29871,7186,116,490,47,1611,40027,27415,7348,72,885,96,3746
"234","2436125","Halfway CDP",10119,9155,424,58,175,0,306,10804,9358,483,16,65,0,392
"235","2436500","Hampstead town",6203,5626,227,0,282,0,319,6403,5662,122,29,398,0,116
"236","2436512","Hampton CDP",4888,4490,81,0,234,0,83,4706,4222,55,8,292,0,123
"237","2436600","Hancock town",1334,1205,106,6,10,0,0,1691,1615,10,0,21,0,0
"238","2437600","Havre de Grace city",12792,9611,2396,63,237,0,335,13808,10118,2386,32,246,26,762
"239","2437875","Hebron town",871,717,90,0,26,0,45,1019,833,119,0,2,0,103
"240","2437925","Henderson town",203,79,50,0,0,0,121,157,94,3,8,0,0,100
"241","2438025","Herald Harbor CDP",2244,2073,0,0,93,0,36,2414,2065,168,0,74,0,113
"242","2438437","Highfield-Cascade CDP",860,860,0,0,0,0,44,912,891,7,0,0,0,0
"243","2438475","Highland CDP",679,626,0,0,53,0,6,1086,697,18,0,355,0,24
"244","2438500","Highland Beach town",73,10,63,0,0,0,0,93,28,57,0,0,0,0
"245","2438850","Hillandale CDP",6405,2666,1118,201,839,0,2019,4737,1668,1339,0,413,3,1358
"246","2438975","Hillcrest Heights CDP",15910,900,14607,22,0,0,678,16498,792,14518,0,0,0,1195
"247","2439175","Hillsboro town",111,69,7,0,0,0,9,101,101,0,0,0,0,0
"248","2440700","Hughesville CDP",1739,1433,206,0,0,0,57,2525,1533,878,0,48,0,0
"249","2441037","Huntingtown CDP",3022,2635,331,0,20,0,221,NA,NA,NA,NA,NA,NA,NA
"250","2441125","Hurlock town",1989,1082,762,46,33,0,64,2390,1365,702,0,79,0,264
"251","2441175","Hutton CDP",10,10,0,0,0,0,0,65,65,0,0,0,0,0
"252","2441250","Hyattsville city",17254,6472,6106,33,802,0,5991,18267,5497,5600,71,1055,0,6371
"253","2441475","Ilchester CDP",22907,15434,2256,17,3667,0,1200,26873,17097,2654,7,4416,0,3320
"254","2441500","Indian Head town",3832,1559,1836,186,49,0,162,3803,1059,2271,18,199,8,148
"255","2441700","Indian Springs CDP",137,137,0,0,0,0,0,18,18,0,0,0,0,0
"256","2442325","Jarrettsville CDP",3152,2992,160,0,0,0,0,2827,2574,49,0,13,0,94
"257","2442350","Jefferson CDP",1869,1710,37,0,73,13,73,2577,2252,64,4,93,0,183
"258","2442450","Jennings CDP",271,271,0,0,0,0,0,170,170,0,0,0,0,0
"259","2442550","Jessup CDP",11078,3537,7083,37,79,15,181,10458,3726,5871,42,398,6,628
"260","2442575","Jesterville CDP",339,165,174,0,0,0,0,222,222,0,0,0,0,0
"261","2442875","Joppatowne CDP",12662,10176,2103,0,254,0,280,12833,10201,1896,28,205,0,442
"262","2442950","Jugtown CDP",363,336,0,0,15,0,0,240,207,0,0,0,0,0
"263","2443100","Keedysville town",1169,1016,63,13,7,0,32,1081,1003,20,1,7,0,16
"264","2443200","Kemp Mill CDP",12084,7402,2534,0,933,0,1437,14812,8639,3301,11,819,0,2191
"265","2443280","Kemps Mill CDP",81,81,0,0,0,0,0,0,0,0,0,0,0,0
"266","2443475","Kennedyville CDP",158,152,0,0,0,0,0,423,423,0,0,0,0,0
"267","2443500","Kensington town",1858,1604,122,16,59,0,82,2212,1518,216,0,262,0,345
"268","2443725","Kent Narrows CDP",589,568,0,0,21,0,6,506,506,0,0,0,0,0
"269","2443900","Kettering CDP",12545,439,11683,0,84,0,329,13302,665,11945,42,133,0,317
"270","2444325","Kingstown CDP",1811,1791,20,0,0,0,17,1853,1800,53,0,0,0,3
"271","2444350","Kingsville CDP",4690,4602,0,0,88,0,0,4649,4608,6,0,10,0,28
"272","2444450","Kitzmiller town",342,342,0,0,0,0,11,217,215,0,1,1,0,0
"273","2444525","Klondike CDP",282,282,0,0,0,0,0,157,157,0,0,0,0,0
"274","2444715","Konterra CDP",2168,805,1085,21,187,0,106,2368,490,1227,0,482,0,165
"275","2444817","Lake Arbor CDP",10309,166,9087,0,679,0,31,13720,907,12122,0,201,0,238
"276","2444975","Lake Shore CDP",18880,17841,312,13,112,0,384,18523,16532,636,110,351,0,862
"277","2445325","Landover CDP",23540,2605,19595,16,191,41,2705,22991,1328,17083,76,834,15,4212
"278","2445400","Landover Hills town",1876,889,664,5,40,0,909,2043,520,630,19,4,0,1198
"279","2445525","Langley Park CDP",18159,4131,3033,24,383,163,14034,19391,1240,2724,29,330,15,15997
"280","2445550","Lanham CDP",8931,1961,6005,47,264,0,1638,11054,1552,6115,0,443,32,3118
"281","2445650","Lansdowne CDP",8629,6159,1839,0,0,108,703,8635,5276,2160,0,103,0,1074
"282","2445750","La Plata town",8496,5552,2405,142,127,0,334,9516,5995,2854,8,411,0,322
"283","2445825","Largo CDP",11012,697,9890,0,236,0,338,11633,702,9867,23,280,0,595
"284","2445900","Laurel city",24433,8103,11648,69,1815,163,3651,25734,6055,13056,149,2131,0,4845
"285","2446075","La Vale CDP",3765,3535,11,0,105,14,12,4486,4232,19,6,66,0,133
"286","2446150","Layhill CDP",5678,2666,1599,0,790,0,1061,5112,1697,1951,0,696,0,1024
"287","2446250","Laytonsville town",290,273,17,0,0,0,2,480,308,75,0,60,0,62
"288","2446375","Leisure World CDP",8666,6673,1100,0,227,0,691,9314,6198,1802,10,938,0,618
"289","2446400","Leitersburg CDP",603,503,0,0,56,0,0,386,381,5,0,0,0,0
"290","2446475","Leonardtown town",2770,2056,541,0,52,0,86,3795,2780,331,2,194,0,521
