geoid,county_name,total_population_2014
06045,"Mendocino County, California",87612
06047,"Merced County, California",261609
06049,"Modoc County, California",9335
06051,"Mono County, California",14193
06053,"Monterey County, California",424927
06055,"Napa County, California",139253
06057,"Nevada County, California",98606
06059,"Orange County, California",3086331
06061,"Placer County, California",361518
06063,"Plumas County, California",19286
06065,"Riverside County, California",2266899
06067,"Sacramento County, California",1450277
06069,"San Benito County, California",56888
06071,"San Bernardino County, California",2078586
06073,"San Diego County, California",3183143
06075,"San Francisco County, California",829072
06077,"San Joaquin County, California",701050
06079,"San Luis Obispo County, California",274184
06081,"San Mateo County, California",739837
06083,"Santa Barbara County, California",431555
06085,"Santa Clara County, California",1841569
06087,"Santa Cruz County, California",267203
06089,"Shasta County, California",178520
06091,"Sierra County, California",3019
06093,"Siskiyou County, California",44261
06095,"Solano County, California",421624
06097,"Sonoma County, California",491790
06099,"Stanislaus County, California",522794
06101,"Sutter County, California",95067
06103,"Tehama County, California",63284
06105,"Trinity County, California",13515
06107,"Tulare County, California",451108
06109,"Tuolumne County, California",54347
06111,"Ventura County, California",835790
06113,"Yolo County, California",204162
06115,"Yuba County, California",73059
08001,"Adams County, Colorado",461558
08003,"Alamosa County, Colorado",16111
08005,"Arapahoe County, Colorado",596684
08007,"Archuleta County, Colorado",12132
08009,"Baca County, Colorado",3735
08011,"Bent County, Colorado",6000
08013,"Boulder County, Colorado",305166
08014,"Broomfield County, Colorado",59027
08015,"Chaffee County, Colorado",18121
08017,"Cheyenne County, Colorado",2153
08019,"Clear Creek County, Colorado",9114
08021,"Conejos County, Colorado",8276
08023,"Costilla County, Colorado",3578
08025,"Crowley County, Colorado",5558
08027,"Custer County, Colorado",4274
08029,"Delta County, Colorado",30378
08031,"Denver County, Colorado",633777
08033,"Dolores County, Colorado",1736
08035,"Douglas County, Colorado",299794
08037,"Eagle County, Colorado",52233
08039,"Elbert County, Colorado",23545
08041,"El Paso County, Colorado",645707
08043,"Fremont County, Colorado",46879
08045,"Garfield County, Colorado",56684
08047,"Gilpin County, Colorado",5557
08049,"Grand County, Colorado",14478
08051,"Gunnison County, Colorado",15503
08053,"Hinsdale County, Colorado",871
08055,"Huerfano County, Colorado",6550
08057,"Jackson County, Colorado",1389
08059,"Jefferson County, Colorado",546162
08061,"Kiowa County, Colorado",1407
08063,"Kit Carson County, Colorado",8122
08065,"Lake County, Colorado",7311
08067,"La Plata County, Colorado",52547
08069,"Larimer County, Colorado",311435
08071,"Las Animas County, Colorado",14789
08073,"Lincoln County, Colorado",5462
08075,"Logan County, Colorado",22604
08077,"Mesa County, Colorado",147509
08079,"Mineral County, Colorado",704
08081,"Moffat County, Colorado",13286
08083,"Montezuma County, Colorado",25569
08085,"Montrose County, Colorado",40885
08087,"Morgan County, Colorado",28342
08089,"Otero County, Colorado",18712
08091,"Ouray County, Colorado",4532
08093,"Park County, Colorado",16174
08095,"Phillips County, Colorado",4385
08097,"Pitkin County, Colorado",17303
08099,"Prowers County, Colorado",12359
08101,"Pueblo County, Colorado",160757
08103,"Rio Blanco County, Colorado",6739
08105,"Rio Grande County, Colorado",11840
08107,"Routt County, Colorado",23428
08109,"Saguache County, Colorado",6211
08111,"San Juan County, Colorado",653
08113,"San Miguel County, Colorado",7597
08115,"Sedgwick County, Colorado",2365
08117,"Summit County, Colorado",28482
08119,"Teller County, Colorado",23363
08121,"Washington County, Colorado",4781
08123,"Weld County, Colorado",265066
08125,"Yuma County, Colorado",10131
09001,"Fairfield County, Connecticut",934215
09003,"Hartford County, Connecticut",897374
09005,"Litchfield County, Connecticut",187542
09007,"Middlesex County, Connecticut",165534
09009,"New Haven County, Connecticut",863148
09011,"New London County, Connecticut",274071
09013,"Tolland County, Connecticut",152251
09015,"Windham County, Connecticut",117918
10001,"Kent County, Delaware",167477
10003,"New Castle County, Delaware",545846
10005,"Sussex County, Delaware",203737
12001,"Alachua County, Florida",251759
12003,"Baker County, Florida",27057
12005,"Bay County, Florida",172988
12007,"Bradford County, Florida",27552
12009,"Brevard County, Florida",548891
12011,"Broward County, Florida",1815269
12013,"Calhoun County, Florida",14657
12015,"Charlotte County, Florida",163151
12017,"Citrus County, Florida",139771
12019,"Clay County, Florida",194868
12021,"Collier County, Florida",334474
12023,"Columbia County, Florida",67662
12027,"DeSoto County, Florida",34785
12029,"Dixie County, Florida",16137
12031,"Duval County, Florida",880750
12033,"Escambia County, Florida",304099
12035,"Flagler County, Florida",98843
12037,"Franklin County, Florida",11636
12039,"Gadsden County, Florida",46865
12041,"Gilchrist County, Florida",16948
12043,"Glades County, Florida",13190
12045,"Gulf County, Florida",15781
12047,"Hamilton County, Florida",14466
12049,"Hardee County, Florida",27549
12051,"Hendry County, Florida",38360
12053,"Hernando County, Florida",173792
12055,"Highlands County, Florida",98261
12057,"Hillsborough County, Florida",1279668
12059,"Holmes County, Florida",19741
12061,"Indian River County, Florida",140918
12063,"Jackson County, Florida",49105
12065,"Jefferson County, Florida",14335
12067,"Lafayette County, Florida",8821
12069,"Lake County, Florida",305010
12071,"Lee County, Florida",647554
12073,"Leon County, Florida",280882
12075,"Levy County, Florida",40057
12077,"Liberty County, Florida",8302
12079,"Madison County, Florida",18901
12081,"Manatee County, Florida",335840
12083,"Marion County, Florida",334771
12085,"Martin County, Florida",149658
12086,"Miami-Dade County, Florida",2600861
12087,"Monroe County, Florida",75208
12089,"Nassau County, Florida",74918
12091,"Okaloosa County, Florida",188984
12093,"Okeechobee County, Florida",39398
12095,"Orange County, Florida",1200241
12097,"Osceola County, Florida",289449
12099,"Palm Beach County, Florida",1359074
12101,"Pasco County, Florida",472745
12103,"Pinellas County, Florida",925030
12105,"Polk County, Florida",617323
12107,"Putnam County, Florida",73191
12109,"St. Johns County, Florida",203402
12111,"St. Lucie County, Florida",283988
12113,"Santa Rosa County, Florida",158240
12115,"Sarasota County, Florida",386944
12117,"Seminole County, Florida",432135
12119,"Sumter County, Florida",103708
12121,"Suwannee County, Florida",43404
12123,"Taylor County, Florida",22690
12125,"Union County, Florida",15258
12127,"Volusia County, Florida",498981
12129,"Wakulla County, Florida",31015
12131,"Walton County, Florida",57821
12133,"Washington County, Florida",24660
13001,"Appling County, Georgia",18421
13003,"Atkinson County, Georgia",8297
13005,"Bacon County, Georgia",11196
13007,"Baker County, Georgia",3342
13009,"Baldwin County, Georgia",45854
13011,"Banks County, Georgia",18317
13013,"Barrow County, Georgia",70873
13015,"Bartow County, Georgia",100771
13017,"Ben Hill County, Georgia",17547
13019,"Berrien County, Georgia",19091
13021,"Bibb County, Georgia",155237
13023,"Bleckley County, Georgia",12912
13025,"Brantley County, Georgia",18463
13027,"Brooks County, Georgia",15766
13029,"Bryan County, Georgia",32185
13031,"Bulloch County, Georgia",71940
13033,"Burke County, Georgia",23136
13035,"Butts County, Georgia",23469
13037,"Calhoun County, Georgia",6549
13039,"Camden County, Georgia",51193
13043,"Candler County, Georgia",11056
13045,"Carroll County, Georgia",111872
13047,"Catoosa County, Georgia",64955
13049,"Charlton County, Georgia",13098
13051,"Chatham County, Georgia",275303
13053,"Chattahoochee County, Georgia",11846
13055,"Chattooga County, Georgia",25484
13057,"Cherokee County, Georgia",221951
13059,"Clarke County, Georgia",119681
13061,"Clay County, Georgia",3110
13063,"Clayton County, Georgia",264221
13065,"Clinch County, Georgia",6777
13067,"Cobb County, Georgia",708920
13069,"Coffee County, Georgia",42947
13071,"Colquitt County, Georgia",45987
13073,"Columbia County, Georgia",132362
13075,"Cook County, Georgia",17061
13077,"Coweta County, Georgia",131419
13079,"Crawford County, Georgia",12536
13081,"Crisp County, Georgia",23403
13083,"Dade County, Georgia",16533
13085,"Dawson County, Georgia",22500
13087,"Decatur County, Georgia",27508
13089,"DeKalb County, Georgia",707185
13091,"Dodge County, Georgia",21365
13093,"Dooly County, Georgia",14443
13095,"Dougherty County, Georgia",93890
13097,"Douglas County, Georgia",135037
13099,"Early County, Georgia",10662
13101,"Echols County, Georgia",4018
13103,"Effingham County, Georgia",53673
13105,"Elbert County, Georgia",19694
13107,"Emanuel County, Georgia",22731
13109,"Evans County, Georgia",10868
13111,"Fannin County, Georgia",23632
13113,"Fayette County, Georgia",107930
13115,"Floyd County, Georgia",96146
13117,"Forsyth County, Georgia",189314
13119,"Franklin County, Georgia",22051
13121,"Fulton County, Georgia",967100
13123,"Gilmer County, Georgia",28441
13125,"Glascock County, Georgia",3086
13127,"Glynn County, Georgia",80937
13129,"Gordon County, Georgia",55666
13131,"Grady County, Georgia",25239
13133,"Greene County, Georgia",16190
13135,"Gwinnett County, Georgia",842091
13137,"Habersham County, Georgia",43342
13139,"Hall County, Georgia",185318
13141,"Hancock County, Georgia",9043
13143,"Haralson County, Georgia",28563
13145,"Harris County, Georgia",32539
13147,"Hart County, Georgia",25406
13149,"Heard County, Georgia",11674
13151,"Henry County, Georgia",209069
13153,"Houston County, Georgia",145622
13155,"Irwin County, Georgia",9482
13157,"Jackson County, Georgia",60928
13159,"Jasper County, Georgia",13647
13161,"Jeff Davis County, Georgia",15028
13163,"Jefferson County, Georgia",16554
13165,"Jenkins County, Georgia",8794
13167,"Johnson County, Georgia",9850
13169,"Jones County, Georgia",28783
13171,"Lamar County, Georgia",18128
13173,"Lanier County, Georgia",10356
13175,"Laurens County, Georgia",48028
13177,"Lee County, Georgia",28805
13179,"Liberty County, Georgia",64489
13181,"Lincoln County, Georgia",7800
13183,"Long County, Georgia",15967
13185,"Lowndes County, Georgia",112515
13187,"Lumpkin County, Georgia",30719
13189,"McDuffie County, Georgia",21563
13191,"McIntosh County, Georgia",14172
13193,"Macon County, Georgia",14232
13195,"Madison County, Georgia",28142
13197,"Marion County, Georgia",8751
13199,"Meriwether County, Georgia",21434
13201,"Miller County, Georgia",6017
13205,"Mitchell County, Georgia",23175
13207,"Monroe County, Georgia",26788
13209,"Montgomery County, Georgia",9000
13211,"Morgan County, Georgia",17866
13213,"Murray County, Georgia",39416
13215,"Muscogee County, Georgia",198247
13217,"Newton County, Georgia",101503
13219,"Oconee County, Georgia",33769
13221,"Oglethorpe County, Georgia",14695
13223,"Paulding County, Georgia",145565
13225,"Peach County, Georgia",27337
13227,"Pickens County, Georgia",29550
13229,"Pierce County, Georgia",18860
13231,"Pike County, Georgia",17821
13233,"Polk County, Georgia",41250
13235,"Pulaski County, Georgia",11693
13237,"Putnam County, Georgia",21226
13239,"Quitman County, Georgia",2407
13241,"Rabun County, Georgia",16267
13243,"Randolph County, Georgia",7411
13245,"Richmond County, Georgia",201244
13247,"Rockdale County, Georgia",86256
13249,"Schley County, Georgia",5054
13251,"Screven County, Georgia",14281
13253,"Seminole County, Georgia",8804
13255,"Spalding County, Georgia",63946
13257,"Stephens County, Georgia",25741
13259,"Stewart County, Georgia",5900
13261,"Sumter County, Georgia",31804
13263,"Talbot County, Georgia",6594
13265,"Taliaferro County, Georgia",1700
13267,"Tattnall County, Georgia",25356
13269,"Taylor County, Georgia",8505
13271,"Telfair County, Georgia",16493
13273,"Terrell County, Georgia",9304
13275,"Thomas County, Georgia",44733
13277,"Tift County, Georgia",40721
13279,"Toombs County, Georgia",27272
13281,"Towns County, Georgia",10670
13283,"Treutlen County, Georgia",6781
13285,"Troup County, Georgia",68375
13287,"Turner County, Georgia",8491
13289,"Twiggs County, Georgia",8612
13291,"Union County, Georgia",21553
13293,"Upson County, Georgia",26681
13295,"Walker County, Georgia",68445
13297,"Walton County, Georgia",85378
13299,"Ware County, Georgia",35915
13301,"Warren County, Georgia",5626
13303,"Washington County, Georgia",20861
13305,"Wayne County, Georgia",30170
13307,"Webster County, Georgia",2744
13309,"Wheeler County, Georgia",7932
13311,"White County, Georgia",27594
13313,"Whitfield County, Georgia",103132
13315,"Wilcox County, Georgia",9061
13317,"Wilkes County, Georgia",10123
13319,"Wilkinson County, Georgia",9455
13321,"Worth County, Georgia",21365
15001,"Hawaii County, Hawaii",189382
15003,"Honolulu County, Hawaii",975690
15005,"Kalawao County, Hawaii",73
15007,"Kauai County, Hawaii",68745
15009,"Maui County, Hawaii",158814
16001,"Ada County, Idaho",409239
16003,"Adams County, Idaho",3908
16005,"Bannock County, Idaho",83394
16007,"Bear Lake County, Idaho",5941
16009,"Benewah County, Idaho",9149
16011,"Bingham County, Idaho",45558
16013,"Blaine County, Idaho",21269
16015,"Boise County, Idaho",6880
16017,"Bonner County, Idaho",40899
16019,"Bonneville County, Idaho",106703
16021,"Boundary County, Idaho",10903
16023,"Butte County, Idaho",2734
16025,"Camas County, Idaho",1156
16027,"Canyon County, Idaho",195353
16029,"Caribou County, Idaho",6857
16031,"Cassia County, Idaho",23275
16033,"Clark County, Idaho",823
16035,"Clearwater County, Idaho",8600
16037,"Custer County, Idaho",4284
16039,"Elmore County, Idaho",26349
16041,"Franklin County, Idaho",12853
16043,"Fremont County, Idaho",13024
16045,"Gem County, Idaho",16732
16047,"Gooding County, Idaho",15241
16049,"Idaho County, Idaho",16315
16051,"Jefferson County, Idaho",26620
16053,"Jerome County, Idaho",22580
16055,"Kootenai County, Idaho",142783
16057,"Latah County, Idaho",37989
16059,"Lemhi County, Idaho",7828
16061,"Lewis County, Idaho",3822
16063,"Lincoln County, Idaho",5246
16065,"Madison County, Idaho",37754
16067,"Minidoka County, Idaho",20191
16069,"Nez Perce County, Idaho",39655
16071,"Oneida County, Idaho",4241
16073,"Owyhee County, Idaho",11412
16075,"Payette County, Idaho",22658
16077,"Power County, Idaho",7742
16079,"Shoshone County, Idaho",12629
16081,"Teton County, Idaho",10212
16083,"Twin Falls County, Idaho",78933
16085,"Valley County, Idaho",9662
16087,"Washington County, Idaho",10068
17001,"Adams County, Illinois",67113
17003,"Alexander County, Illinois",7821
17005,"Bond County, Illinois",17571
17007,"Boone County, Illinois",54005
17009,"Brown County, Illinois",6878
17011,"Bureau County, Illinois",34361
17013,"Calhoun County, Illinois",5033
17015,"Carroll County, Illinois",15027
17017,"Cass County, Illinois",13440
17019,"Champaign County, Illinois",204214
17021,"Christian County, Illinois",34415
17023,"Clark County, Illinois",16240
17025,"Clay County, Illinois",13675
17027,"Clinton County, Illinois",37952
17029,"Coles County, Illinois",53655
17031,"Cook County, Illinois",5227827
17033,"Crawford County, Illinois",19626
17035,"Cumberland County, Illinois",10950
17037,"DeKalb County, Illinois",104919
17039,"De Witt County, Illinois",16461
17041,"Douglas County, Illinois",19867
17043,"DuPage County, Illinois",926485
17045,"Edgar County, Illinois",18171
17047,"Edwards County, Illinois",6687
17049,"Effingham County, Illinois",34280
17051,"Fayette County, Illinois",22041
17053,"Ford County, Illinois",13906
17055,"Franklin County, Illinois",39774
17057,"Fulton County, Illinois",36616
17059,"Gallatin County, Illinois",5439
17061,"Greene County, Illinois",13677
17063,"Grundy County, Illinois",50173
17065,"Hamilton County, Illinois",8371
17067,"Hancock County, Illinois",18808
17069,"Hardin County, Illinois",4226
17071,"Henderson County, Illinois",7074
17073,"Henry County, Illinois",50031
17075,"Iroquois County, Illinois",29272
17077,"Jackson County, Illinois",60125
17079,"Jasper County, Illinois",9658
17081,"Jefferson County, Illinois",38716
17083,"Jersey County, Illinois",22751
17085,"Jo Daviess County, Illinois",22427
17087,"Johnson County, Illinois",12650
17089,"Kane County, Illinois",521874
17091,"Kankakee County, Illinois",112682
17093,"Kendall County, Illinois",118194
17095,"Knox County, Illinois",52447
17097,"Lake County, Illinois",703170
17099,"LaSalle County, Illinois",112698
17101,"Lawrence County, Illinois",16726
17103,"Lee County, Illinois",35248
17105,"Livingston County, Illinois",38476
17107,"Logan County, Illinois",30047
17109,"McDonough County, Illinois",32388
17111,"McHenry County, Illinois",307888
17113,"McLean County, Illinois",172390
17115,"Macon County, Illinois",109833
17117,"Macoupin County, Illinois",47229
17119,"Madison County, Illinois",267937
17121,"Marion County, Illinois",38922
17123,"Marshall County, Illinois",12319
17125,"Mason County, Illinois",14309
17127,"Massac County, Illinois",15148
17129,"Menard County, Illinois",12658
17131,"Mercer County, Illinois",16204
17133,"Monroe County, Illinois",33373
17135,"Montgomery County, Illinois",29740
17137,"Morgan County, Illinois",35272
17139,"Moultrie County, Illinois",14896
17141,"Ogle County, Illinois",52782
17143,"Peoria County, Illinois",187197
17145,"Perry County, Illinois",22034
17147,"Piatt County, Illinois",16552
17149,"Pike County, Illinois",16244
17151,"Pope County, Illinois",4362
17153,"Pulaski County, Illinois",5967
17155,"Putnam County, Illinois",5895
17157,"Randolph County, Illinois",33091
17159,"Richland County, Illinois",16144
17161,"Rock Island County, Illinois",146964
17163,"St. Clair County, Illinois",268415
17165,"Saline County, Illinois",24876
17167,"Sangamon County, Illinois",198808
17169,"Schuyler County, Illinois",7454
17171,"Scott County, Illinois",5260
17173,"Shelby County, Illinois",22216
17175,"Stark County, Illinois",5888
17177,"Stephenson County, Illinois",47053
17179,"Tazewell County, Illinois",135872
17181,"Union County, Illinois",17620
17183,"Vermilion County, Illinois",80773
17185,"Wabash County, Illinois",11730
17187,"Warren County, Illinois",17784
17189,"Washington County, Illinois",14527
17191,"Wayne County, Illinois",16627
17193,"White County, Illinois",14549
17195,"Whiteside County, Illinois",57680
17197,"Will County, Illinois",682108
17199,"Williamson County, Illinois",66808
17201,"Winnebago County, Illinois",292026
17203,"Woodford County, Illinois",38965
18001,"Adams County, Indiana",34533
18003,"Allen County, Indiana",360990
18005,"Bartholomew County, Indiana",78628
18007,"Benton County, Indiana",8810
18009,"Blackford County, Indiana",12576
18011,"Boone County, Indiana",59246
18013,"Brown County, Indiana",15074
18015,"Carroll County, Indiana",20068
18017,"Cass County, Indiana",38730
18019,"Clark County, Indiana",112212
18021,"Clay County, Indiana",26797
18023,"Clinton County, Indiana",32987
18025,"Crawford County, Indiana",10646
18027,"Daviess County, Indiana",32156
18029,"Dearborn County, Indiana",49840
18031,"Decatur County, Indiana",26112
18033,"DeKalb County, Indiana",42321
18035,"Delaware County, Indiana",117441
18037,"Dubois County, Indiana",42170
18039,"Elkhart County, Indiana",199544
18041,"Fayette County, Indiana",23955
18043,"Floyd County, Indiana",75431
18045,"Fountain County, Indiana",17002
18047,"Franklin County, Indiana",22980
18049,"Fulton County, Indiana",20638
18051,"Gibson County, Indiana",33586
18053,"Grant County, Indiana",69313
18055,"Greene County, Indiana",32978
18057,"Hamilton County, Indiana",289722
18059,"Hancock County, Indiana",70851
18061,"Harrison County, Indiana",39216
18063,"Hendricks County, Indiana",150977
18065,"Henry County, Indiana",49227
18067,"Howard County, Indiana",82914
18069,"Huntington County, Indiana",36959
18071,"Jackson County, Indiana",43127
18073,"Jasper County, Indiana",33443
18075,"Jay County, Indiana",21279
18077,"Jefferson County, Indiana",32447
18079,"Jennings County, Indiana",28223
18081,"Johnson County, Indiana",143789
18083,"Knox County, Indiana",38181
18085,"Kosciusko County, Indiana",77790
18087,"LaGrange County, Indiana",37759
18089,"Lake County, Indiana",493140
18091,"LaPorte County, Indiana",111293
18093,"Lawrence County, Indiana",45970
18095,"Madison County, Indiana",130688
18097,"Marion County, Indiana",919336
18099,"Marshall County, Indiana",47032
18101,"Martin County, Indiana",10294
18103,"Miami County, Indiana",36394
18105,"Monroe County, Indiana",141101
18107,"Montgomery County, Indiana",38183
18109,"Morgan County, Indiana",69343
18111,"Newton County, Indiana",14140
18113,"Noble County, Indiana",47497
18115,"Ohio County, Indiana",6073
18117,"Orange County, Indiana",19756
18119,"Owen County, Indiana",21321
18121,"Parke County, Indiana",17200
18123,"Perry County, Indiana",19452
18125,"Pike County, Indiana",12733
18127,"Porter County, Indiana",165819
18129,"Posey County, Indiana",25641
18131,"Pulaski County, Indiana",13130
18133,"Putnam County, Indiana",37728
18135,"Randolph County, Indiana",25801
18137,"Ripley County, Indiana",28601
18139,"Rush County, Indiana",17147
18141,"St. Joseph County, Indiana",266916
18143,"Scott County, Indiana",23897
18145,"Shelby County, Indiana",44428
18147,"Spencer County, Indiana",20893
18149,"Starke County, Indiana",23215
18151,"Steuben County, Indiana",34190
18153,"Sullivan County, Indiana",21227
18155,"Switzerland County, Indiana",10514
