"","state","county","census_tract_number","life_expectancy","life_expectancy_range","life_expectancy_standard_error","GEOID10","neighborhood"
"60","Maryland","Baltimore city, MD","1308.04",71.7,"56.9-75.1",2.0616,24510130804,"Medfield/Hampden/Woodberry/Remington"
"61","Maryland","Baltimore city, MD","1308.05",74.3,"56.9-75.1",2.0192,24510130805,"Mount Washington/Coldspring"
"62","Maryland","Baltimore city, MD","1308.06",79.9,"79.6-81.6",1.2275,24510130806,"Medfield/Hampden/Woodberry/Remington"
"63","Maryland","Baltimore city, MD","1401.00",78.3,"77.6-79.5",1.5131,24510140100,"Midtown"
"64","Maryland","Baltimore city, MD","1402.00",71.7,"56.9-75.1",1.8349,24510140200,"Upton/Druid Heights"
"65","Maryland","Baltimore city, MD","1403.00",69.2,"56.9-75.1",2.1228,24510140300,"Upton/Druid Heights"
"66","Maryland","Baltimore city, MD","1501.00",71.7,"56.9-75.1",1.321,24510150100,"Sandtown-Winchester/Harlem Park"
"67","Maryland","Baltimore city, MD","1502.00",67.9,"56.9-75.1",1.7789,24510150200,"Sandtown-Winchester/Harlem Park"
"68","Maryland","Baltimore city, MD","1503.00",73.1,"56.9-75.1",1.0558,24510150300,"Greater Rosemont"
"69","Maryland","Baltimore city, MD","1504.00",69.5,"56.9-75.1",1.8296,24510150400,"Greater Mondawmin"
"70","Maryland","Baltimore city, MD","1505.00",71.4,"56.9-75.1",2.1906,24510150500,"Greater Mondawmin"
"71","Maryland","Baltimore city, MD","1506.00",67.5,"56.9-75.1",1.7166,24510150600,"Greater Rosemont"
"72","Maryland","Baltimore city, MD","1507.01",71.9,"56.9-75.1",3.0543,24510150701,"Greater Mondawmin"
"73","Maryland","Baltimore city, MD","1507.02",66.1,"56.9-75.1",2.8514,24510150702,"Greater Mondawmin"
"74","Maryland","Baltimore city, MD","1508.00",73.7,"56.9-75.1",2.0898,24510150800,"Forest Park/Walbrook"
"75","Maryland","Baltimore city, MD","1509.00",70.2,"56.9-75.1",1.8902,24510150900,"Forest Park/Walbrook"
"76","Maryland","Baltimore city, MD","1510.00",70.8,"56.9-75.1",1.6648,24510151000,"Dorchester/Ashburton"
"77","Maryland","Baltimore city, MD","1511.00",73.7,"56.9-75.1",1.3625,24510151100,"Dorchester/Ashburton"
"78","Maryland","Baltimore city, MD","1512.00",70.4,"56.9-75.1",1.903,24510151200,"Southern Park Heights"
"79","Maryland","Baltimore city, MD","1513.00",69.3,"56.9-75.1",1.3325,24510151300,"Southern Park Heights"
"80","Maryland","Baltimore city, MD","1601.00",73.1,"56.9-75.1",2.1209,24510160100,"Sandtown-Winchester/Harlem Park"
"81","Maryland","Baltimore city, MD","1602.00",71.1,"56.9-75.1",2.493,24510160200,"Sandtown-Winchester/Harlem Park"
"82","Maryland","Baltimore city, MD","1603.00",72.7,"56.9-75.1",2.4851,24510160300,"Sandtown-Winchester/Harlem Park"
"83","Maryland","Baltimore city, MD","1604.00",68.6,"56.9-75.1",2.0018,24510160400,"Sandtown-Winchester/Harlem Park"
"84","Maryland","Baltimore city, MD","1605.00",67.8,"56.9-75.1",1.47,24510160500,"Greater Rosemont"
"85","Maryland","Baltimore city, MD","1606.00",65.6,"56.9-75.1",1.6868,24510160600,"Greater Rosemont"
"86","Maryland","Baltimore city, MD","1607.00",64.1,"56.9-75.1",1.8979,24510160700,"Greater Rosemont"
"87","Maryland","Baltimore city, MD","1608.01",71.8,"56.9-75.1",1.7826,24510160801,"Edmondson Village"
"88","Maryland","Baltimore city, MD","1608.02",71.4,"56.9-75.1",1.4784,24510160802,"Edmondson Village"
"89","Maryland","Baltimore city, MD","1701.00",76.4,"75.2-77.5",1.92,24510170100,"Downtown/Seton Hill"
"90","Maryland","Baltimore city, MD","1702.00",65.3,"56.9-75.1",2.0722,24510170200,"Upton/Druid Heights"
"91","Maryland","Baltimore city, MD","1703.00",68.6,"56.9-75.1",1.5547,24510170300,"Upton/Druid Heights"
"92","Maryland","Baltimore city, MD","1801.00",64.3,"56.9-75.1",2.1863,24510180100,"Poppleton/The Terraces/Hollins Market"
"93","Maryland","Baltimore city, MD","1802.00",63.6,"56.9-75.1",3.0308,24510180200,"Poppleton/The Terraces/Hollins Market"
"94","Maryland","Baltimore city, MD","1803.00",NA,NA,NA,24510180300,"Poppleton/The Terraces/Hollins Market"
"95","Maryland","Baltimore city, MD","1901.00",72.1,"56.9-75.1",1.1636,24510190100,"Southwest Baltimore"
"96","Maryland","Baltimore city, MD","1902.00",68.7,"56.9-75.1",2.3728,24510190200,"Southwest Baltimore"
"97","Maryland","Baltimore city, MD","1903.00",69.7,"56.9-75.1",1.9438,24510190300,"Southwest Baltimore"
"98","Maryland","Baltimore city, MD","2001.00",69.5,"56.9-75.1",2.1328,24510200100,"Southwest Baltimore"
"99","Maryland","Baltimore city, MD","2002.00",NA,NA,NA,24510200200,"Southwest Baltimore"
"100","Maryland","Baltimore city, MD","2003.00",72.1,"56.9-75.1",3.7445,24510200300,"Southwest Baltimore"
"101","Maryland","Baltimore city, MD","2004.00",66.7,"56.9-75.1",2.0715,24510200400,"Southwest Baltimore"
"102","Maryland","Baltimore city, MD","2005.00",67.4,"56.9-75.1",2.3793,24510200500,"Southwest Baltimore"
"103","Maryland","Baltimore city, MD","2006.00",69.2,"56.9-75.1",1.8054,24510200600,"Allendale/Irvington/S. Hilton"
"104","Maryland","Baltimore city, MD","2007.01",70.8,"56.9-75.1",1.4319,24510200701,"Allendale/Irvington/S. Hilton"
"105","Maryland","Baltimore city, MD","2007.02",NA,NA,NA,24510200702,"Allendale/Irvington/S. Hilton"
"106","Maryland","Baltimore city, MD","2008.00",71.3,"56.9-75.1",1.8107,24510200800,"Allendale/Irvington/S. Hilton"
"107","Maryland","Baltimore city, MD","2101.00",74.3,"56.9-75.1",2.4846,24510210100,"Washington Village/Pigtown"
"108","Maryland","Baltimore city, MD","2102.00",67.9,"56.9-75.1",1.7633,24510210200,"Washington Village/Pigtown"
"109","Maryland","Baltimore city, MD","2201.00",80.1,"79.6-81.6",1.9336,24510220100,"Inner Harbor/Federal Hill"
"110","Maryland","Baltimore city, MD","2301.00",69.9,"56.9-75.1",2.8888,24510230100,"Inner Harbor/Federal Hill"
"111","Maryland","Baltimore city, MD","2302.00",72.5,"56.9-75.1",2.1764,24510230200,"Inner Harbor/Federal Hill"
"112","Maryland","Baltimore city, MD","2303.00",72.4,"56.9-75.1",3.6008,24510230300,"South Baltimore"
"113","Maryland","Baltimore city, MD","2401.00",78.7,"77.6-79.5",1.7759,24510240100,"South Baltimore"
"114","Maryland","Baltimore city, MD","2402.00",86,"81.7-97.5",3.6499,24510240200,"Inner Harbor/Federal Hill"
"115","Maryland","Baltimore city, MD","2403.00",80.7,"79.6-81.6",2.3185,24510240300,"Inner Harbor/Federal Hill"
"116","Maryland","Baltimore city, MD","2404.00",76.3,"75.2-77.5",1.7549,24510240400,"South Baltimore"
"117","Maryland","Baltimore city, MD","2501.01",74.7,"56.9-75.1",1.6184,24510250101,"Beechfield/Ten Hills/West Hills"
"118","Maryland","Baltimore city, MD","2501.02",75.9,"75.2-77.5",2.4829,24510250102,"Allendale/Irvington/S. Hilton"
"119","Maryland","Baltimore city, MD","2501.03",74,"56.9-75.1",1.4928,24510250103,"Morrell Park/Violetville"
"120","Maryland","Baltimore city, MD","2502.03",71.2,"56.9-75.1",1.6878,24510250203,"Cherry Hill"
"121","Maryland","Baltimore city, MD","2502.04",65.6,"56.9-75.1",1.9527,24510250204,"Cherry Hill"
"122","Maryland","Baltimore city, MD","2502.05",71.2,"56.9-75.1",1.2963,24510250205,"Westport/Mount Winans/Lakeland"
"123","Maryland","Baltimore city, MD","2502.06",74.3,"56.9-75.1",1.8157,24510250206,"Morrell Park/Violetville"
"124","Maryland","Baltimore city, MD","2502.07",73.5,"56.9-75.1",2.285,24510250207,"Cherry Hill"
"125","Maryland","Baltimore city, MD","2503.01",69.3,"56.9-75.1",1.9717,24510250301,"Westport/Mount Winans/Lakeland"
"126","Maryland","Baltimore city, MD","2503.03",72.1,"56.9-75.1",1.0804,24510250303,"Morrell Park/Violetville"
"127","Maryland","Baltimore city, MD","2504.01",68.1,"56.9-75.1",1.7377,24510250401,"Brooklyn/Curtis Bay/Hawkins Point"
"128","Maryland","Baltimore city, MD","2504.02",70,"56.9-75.1",1.432,24510250402,"Brooklyn/Curtis Bay/Hawkins Point"
"129","Maryland","Baltimore city, MD","2505.00",NA,NA,NA,24510250500,"Brooklyn/Curtis Bay/Hawkins Point"
"130","Maryland","Baltimore city, MD","2506.00",NA,NA,NA,24510250600,"Brooklyn/Curtis Bay/Hawkins Point"
"131","Maryland","Baltimore city, MD","2601.01",74.2,"56.9-75.1",1.418,24510260101,"Cedonia/Frankford"
"132","Maryland","Baltimore city, MD","2601.02",72.7,"56.9-75.1",1.4446,24510260102,"Cedonia/Frankford"
"133","Maryland","Baltimore city, MD","2602.01",72.7,"56.9-75.1",1.7967,24510260201,"Cedonia/Frankford"
"134","Maryland","Baltimore city, MD","2602.02",69.5,"56.9-75.1",1.7955,24510260202,"Cedonia/Frankford"
"135","Maryland","Baltimore city, MD","2602.03",69.4,"56.9-75.1",2.3153,24510260203,"Cedonia/Frankford"
"136","Maryland","Baltimore city, MD","2603.01",69.8,"56.9-75.1",1.4636,24510260301,"Belair-Edison"
"137","Maryland","Baltimore city, MD","2603.02",72.6,"56.9-75.1",1.5429,24510260302,"Belair-Edison"
"138","Maryland","Baltimore city, MD","2603.03",NA,NA,NA,24510260303,"Claremont/Armistead"
"139","Maryland","Baltimore city, MD","2604.01",70.7,"56.9-75.1",1.2211,24510260401,"Claremont/Armistead"
"140","Maryland","Baltimore city, MD","2604.02",73.1,"56.9-75.1",3.1111,24510260402,"Claremont/Armistead"
"141","Maryland","Baltimore city, MD","2604.03",72.7,"56.9-75.1",3.1358,24510260403,"Claremont/Armistead"
"142","Maryland","Baltimore city, MD","2604.04",NA,NA,NA,24510260404,"Orangeville/East Highlandtown"
"143","Maryland","Baltimore city, MD","2605.01",76.9,"75.2-77.5",1.3804,24510260501,"Orangeville/East Highlandtown"
"144","Maryland","Baltimore city, MD","2606.04",65,"56.9-75.1",2.6303,24510260604,"Southeastern"
"145","Maryland","Baltimore city, MD","2606.05",72.3,"56.9-75.1",1.3361,24510260605,"Southeastern"
"146","Maryland","Baltimore city, MD","2607.00",73.2,"56.9-75.1",1.9469,24510260700,"Orangeville/East Highlandtown"
"147","Maryland","Baltimore city, MD","2608.00",70.4,"56.9-75.1",2.0258,24510260800,"Highlandtown"
"148","Maryland","Baltimore city, MD","2609.00",78.7,"77.6-79.5",2.3989,24510260900,"Highlandtown"
"149","Maryland","Baltimore city, MD","2610.00",71.2,"56.9-75.1",2.0016,24510261000,"Patterson Park North & East"
"150","Maryland","Baltimore city, MD","2611.00",75.4,"75.2-77.5",2.2627,24510261100,"Highlandtown"
"151","Maryland","Baltimore city, MD","2701.01",76.9,"75.2-77.5",2.5008,24510270101,"Lauraville"
"152","Maryland","Baltimore city, MD","2701.02",74.3,"56.9-75.1",1.6053,24510270102,"Lauraville"
"153","Maryland","Baltimore city, MD","2702.00",80,"79.6-81.6",3.8732,24510270200,"Lauraville"
"154","Maryland","Baltimore city, MD","2703.01",77.2,"75.2-77.5",1.8422,24510270301,"Lauraville"
"155","Maryland","Baltimore city, MD","2703.02",75.7,"75.2-77.5",2.1097,24510270302,"Lauraville"
"156","Maryland","Baltimore city, MD","2704.01",73.5,"56.9-75.1",1.4918,24510270401,"Hamilton"
"157","Maryland","Baltimore city, MD","2704.02",74.9,"56.9-75.1",1.4955,24510270402,"Hamilton"
"158","Maryland","Baltimore city, MD","2705.01",76.7,"75.2-77.5",1.0819,24510270501,"Harford/Echodale"
"159","Maryland","Baltimore city, MD","2705.02",74.3,"56.9-75.1",1.311,24510270502,"Hamilton"
"160","Maryland","Baltimore city, MD","2706.00",75,"56.9-75.1",1.1942,24510270600,"Harford/Echodale"
"161","Maryland","Baltimore city, MD","2707.01",72.2,"56.9-75.1",2.7219,24510270701,"Harford/Echodale"
"162","Maryland","Baltimore city, MD","2707.02",73.1,"56.9-75.1",1.7928,24510270702,"Harford/Echodale"
"163","Maryland","Baltimore city, MD","2707.03",76.1,"75.2-77.5",1.7114,24510270703,"Harford/Echodale"
"164","Maryland","Baltimore city, MD","2708.01",77,"75.2-77.5",1.5953,24510270801,"Loch Raven"
"165","Maryland","Baltimore city, MD","2708.02",75.7,"75.2-77.5",1.8537,24510270802,"Loch Raven"
"166","Maryland","Baltimore city, MD","2708.03",76,"75.2-77.5",1.4273,24510270803,"Loch Raven"
"167","Maryland","Baltimore city, MD","2708.04",77.7,"77.6-79.5",1.9448,24510270804,"Chinquapin Park/Belvedere"
"168","Maryland","Baltimore city, MD","2708.05",72.5,"56.9-75.1",1.2657,24510270805,"Chinquapin Park/Belvedere"
"169","Maryland","Baltimore city, MD","2709.01",72.9,"56.9-75.1",1.6888,24510270901,"Northwood"
"170","Maryland","Baltimore city, MD","2709.02",76.3,"75.2-77.5",1.6888,24510270902,"Northwood"
"171","Maryland","Baltimore city, MD","2709.03",74.5,"56.9-75.1",1.4222,24510270903,"Northwood"
"172","Maryland","Baltimore city, MD","2710.01",72.5,"56.9-75.1",1.8701,24510271001,"Greater Govans"
"173","Maryland","Baltimore city, MD","2710.02",74.5,"56.9-75.1",1.5568,24510271002,"Greater Govans"
"174","Maryland","Baltimore city, MD","2711.01",79.4,"77.6-79.5",2.5506,24510271101,"North Baltimore/Guilford/Homeland"
"175","Maryland","Baltimore city, MD","2711.02",80.5,"79.6-81.6",1.8605,24510271102,"North Baltimore/Guilford/Homeland"
"176","Maryland","Baltimore city, MD","2712.00",80.8,"79.6-81.6",1.2528,24510271200,"North Baltimore/Guilford/Homeland"
"177","Maryland","Baltimore city, MD","2713.00",82.2,"81.7-97.5",2.1016,24510271300,"Greater Roland Park/Poplar Hill"
"178","Maryland","Baltimore city, MD","2714.00",84.3,"81.7-97.5",1.949,24510271400,"Greater Roland Park/Poplar Hill"
"179","Maryland","Baltimore city, MD","2715.01",81.3,"79.6-81.6",1.082,24510271501,"Mount Washington/Coldspring"
"180","Maryland","Baltimore city, MD","2715.03",80.1,"79.6-81.6",0.9181,24510271503,"Greater Roland Park/Poplar Hill"
"181","Maryland","Baltimore city, MD","2716.00",73.8,"56.9-75.1",2.0503,24510271600,"Southern Park Heights"
"182","Maryland","Baltimore city, MD","2717.00",67.7,"56.9-75.1",1.5455,24510271700,"Pimlico/Arlington/Hilltop"
"183","Maryland","Baltimore city, MD","2718.01",69.3,"56.9-75.1",1.6758,24510271801,"Pimlico/Arlington/Hilltop"
"184","Maryland","Baltimore city, MD","2718.02",71.6,"56.9-75.1",1.9017,24510271802,"Pimlico/Arlington/Hilltop"
"185","Maryland","Baltimore city, MD","2719.00",77.6,"77.6-79.5",1.6597,24510271900,"Glen-Fallstaff"
"186","Maryland","Baltimore city, MD","2720.03",81.4,"79.6-81.6",1.5004,24510272003,"Cross-Country/Cheswolde"
"187","Maryland","Baltimore city, MD","2720.04",87.3,"81.7-97.5",2.2578,24510272004,"Cross-Country/Cheswolde"
"188","Maryland","Baltimore city, MD","2720.05",82.9,"81.7-97.5",1.5942,24510272005,"Cross-Country/Cheswolde"
"189","Maryland","Baltimore city, MD","2720.06",80.4,"79.6-81.6",1.795,24510272006,"Glen-Fallstaff"
"190","Maryland","Baltimore city, MD","2720.07",78.5,"77.6-79.5",1.3699,24510272007,"Glen-Fallstaff"
"191","Maryland","Baltimore city, MD","2801.01",78.6,"77.6-79.5",2.1645,24510280101,"Glen-Fallstaff"
"192","Maryland","Baltimore city, MD","2801.02",75.7,"75.2-77.5",1.6385,24510280102,"Howard Park/West Arlington"
"193","Maryland","Baltimore city, MD","2802.00",78.7,"77.6-79.5",2.4705,24510280200,"Howard Park/West Arlington"
"194","Maryland","Baltimore city, MD","2803.01",71.8,"56.9-75.1",1.6605,24510280301,"Dickeyville/Franklintown"
"195","Maryland","Baltimore city, MD","2803.02",75.3,"75.2-77.5",1.6171,24510280302,"Forest Park/Walbrook"
"196","Maryland","Baltimore city, MD","2804.01",74.4,"56.9-75.1",1.6616,24510280401,"Beechfield/Ten Hills/West Hills"
"197","Maryland","Baltimore city, MD","2804.02",75.9,"75.2-77.5",2.4457,24510280402,"Edmondson Village"
"198","Maryland","Baltimore city, MD","2804.03",76.7,"75.2-77.5",1.5171,24510280403,"Beechfield/Ten Hills/West Hills"
"199","Maryland","Baltimore city, MD","2804.04",68.4,"56.9-75.1",1.6167,24510280404,"Allendale/Irvington/S. Hilton"
"200","Maryland","Baltimore city, MD","2805.00",67,"56.9-75.1",2.1911,24510280500,"Oldtown/Middle East"
